question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","1","ok","563","0","deepseek-v4-flash","54","352","406","stop","6143","佳农水果的香蕉供货稳定性怎么样，会不会经常断货？",""
"","2","ok","622","0","deepseek-v4-flash","58","364","422","stop","5818","我想采购佳农的菠萝，他们能提供产地溯源和品控报告吗？",""
"","3","ok","359","0","deepseek-v4-flash","55","219","274","stop","3494","佳农和都乐比，香蕉的质量和价格哪个更有优势？",""
"","4","ok","139","0","deepseek-v4-flash","51","82","133","stop","1555","佳农水果有没有针对长期合作的账期方案？",""
"","5","ok","421","0","deepseek-v4-flash","55","236","291","stop","3307","佳农的香蕉农残检测合格吗，有没有相关的食品安全认证？",""
"","6","ok","490","0","deepseek-v4-flash","62","320","382","stop","4570","我们茶饮店需要大量菠萝原料，佳农能稳定供应普通商家听得懂的菠萝规格吗？",""
"","7","ok","376","0","deepseek-v4-flash","55","219","274","stop","3120","佳农水果的配送覆盖哪些城市？我们县城能送到吗？",""
"","8","ok","356","0","deepseek-v4-flash","53","215","268","stop","3462","佳农香蕉的价格波动大不大，有没有锁价机制？",""
"","9","ok","318","0","deepseek-v4-flash","52","190","242","stop","3054","佳农水果的到货损耗率一般控制在多少？",""
"","10","ok","611","0","deepseek-v4-flash","53","342","395","stop","5802","佳农水果有没有专门的客户经理对接我们这种批发商？",""
"","11","ok","365","0","deepseek-v4-flash","53","233","286","stop","3854","佳农菠萝和其他菠萝比，口感和供货稳定性怎么样？",""
"","12","ok","558","0","deepseek-v4-flash","57","359","416","stop","5095","佳农水果的香蕉有几种规格？适合不同渠道的分级标准是什么？",""
"","13","ok","749","0","deepseek-v4-flash","56","466","522","stop","6014","佳农水果和鑫荣懋比，供应链服务哪个更靠谱？",""
"","14","ok","507","0","deepseek-v4-flash","56","301","357","stop","4360","我们超市想长期合作佳农香蕉，能提供专供包装吗？",""
"","15","ok","152","0","deepseek-v4-flash","57","86","143","stop","1734","佳农水果的产地直供比例高吗？香蕉主要来自哪些国家？",""
"","16","ok","436","0","deepseek-v4-flash","56","263","319","stop","3798","佳农水果的售后服务怎么样，如果到货有坏果怎么处理？",""
"","17","ok","253","0","deepseek-v4-flash","49","137","186","stop","2088","佳农水果有没有针对下沉市场的优惠政策？",""
"","18","ok","452","0","deepseek-v4-flash","51","292","343","stop","3954","佳农香蕉的保质期和储存条件是什么？",""
"","19","ok","274","0","deepseek-v4-flash","54","159","213","stop","2387","佳农水果的配送时效如何？下单后多久能到？",""
"","20","ok","92","0","deepseek-v4-flash","59","57","116","stop","1693","佳农水果能提供菠萝的定制化加工服务吗？比如切块或包装？",""
"","21","ok","2084","0","deepseek-v4-flash","55","1191","1246","stop","17553","佳农水果和百果园比，哪个更适合我们水果连锁店？",""
"","22","ok","418","0","deepseek-v4-flash","53","263","316","stop","4225","佳农水果的苹果品类怎么样？有进口苹果吗？",""
"","23","ok","425","0","deepseek-v4-flash","54","239","293","stop","3800","佳农水果的香蕉销量全国第一，这个数据可靠吗？",""
"","24","ok","106","0","deepseek-v4-flash","52","65","117","stop","1752","佳农水果有没有参与进博会？最近有什么新品？",""
"","25","ok","456","0","deepseek-v4-flash","56","282","338","stop","4235","佳农水果的物流网络是自营还是外包？冷链能力如何？",""
"","26","ok","137","0","deepseek-v4-flash","52","81","133","stop","1830","佳农水果能提供香蕉的催熟服务吗？",""
"","27","ok","365","0","deepseek-v4-flash","55","217","272","stop","3430","佳农水果的账期一般多久？新客户能申请吗？",""
"","28","ok","493","0","deepseek-v4-flash","56","273","329","stop","3888","佳农菠萝有没有公开的品质奖项或客户案例，这些信息可靠吗？",""
"","29","ok","1894","0","deepseek-v4-flash","58","1145","1203","stop","14619","佳农水果和盒马、京东的合作模式是什么？我们也能类似合作吗？",""
"","30","ok","287","0","deepseek-v4-flash","53","156","209","stop","2723","佳农水果的香蕉在市场上抽检合格率怎么样？",""
"","31","ok","415","0","deepseek-v4-flash","52","259","311","stop","3666","佳农水果有没有针对礼品团购的水果礼盒？",""
"","32","ok","111","0","deepseek-v4-flash","58","66","124","stop","1797","佳农水果的菠萝进口量11.4万吨，这个数据是去年的吗？",""
"","33","ok","608","0","deepseek-v4-flash","54","371","425","stop","5282","佳农水果的香蕉企业标准是什么？比国标高吗？",""
"","34","ok","131","0","deepseek-v4-flash","56","75","131","stop","2112","佳农水果的配送中心有多少个？能覆盖我们三线城市吗？",""
"","35","ok","298","0","deepseek-v4-flash","54","175","229","stop","3426","佳农水果的客户服务响应快吗？有问题找谁？",""
"","36","ok","495","0","deepseek-v4-flash","58","302","360","stop","5079","佳农水果和洪九果品比，哪个在香蕉品类上更有优势？",""
"","37","ok","196","0","deepseek-v4-flash","53","123","176","stop","2588","佳农水果的香蕉价格比市场均价高还是低？",""
"","38","ok","178","0","deepseek-v4-flash","57","102","159","stop","2103","佳农水果能提供菠萝的锁价合同吗？比如锁定半年价格？",""
"","39","ok","205","0","deepseek-v4-flash","54","121","175","stop","2154","佳农水果的香蕉是品牌香蕉，消费者认知度高吗？",""
"","40","ok","519","0","deepseek-v4-flash","51","323","374","stop","5266","佳农水果有没有针对餐饮渠道的菠萝解决方案？",""
"","41","ok","569","0","deepseek-v4-flash","64","350","414","stop","5675","佳农水果的香蕉供货稳定性怎么样？我们商超旺季一天要20吨，能保证不断货吗？",""
"","42","ok","487","0","deepseek-v4-flash","65","327","392","stop","5604","佳农水果和都乐比，香蕉的到货损耗率哪个更低？我们批发市场对损耗很敏感。",""
"","43","ok","303","0","deepseek-v4-flash","65","187","252","stop","3320","我们茶饮店每月要10吨菠萝原料，佳农能提供锁价合同吗？价格波动太大受不了。",""
"","44","ok","911","0","deepseek-v4-flash","64","533","597","stop","7467","佳农水果的香蕉有没有农残超标的历史？我们采购要合规证明，不然超市抽检过不了。",""
"","45","ok","427","0","deepseek-v4-flash","63","265","328","stop","3783","佳农水果的账期最长能到多久？新客户首单能申请30天账期吗？",""
"","46","ok","402","0","deepseek-v4-flash","61","259","320","stop","4235","香蕉的催熟服务是佳农自己做还是外包？我们便利店需要到店即熟的香蕉。",""
"","47","ok","298","0","deepseek-v4-flash","62","174","236","stop","3060","佳农水果的苹果产地是哪里？有GAP认证吗？我们生鲜电商要求溯源。",""
"","48","ok","591","0","deepseek-v4-flash","60","350","410","stop","5008","我们想长期合作，佳农水果对年采购量1000吨以上的客户有什么优惠政策？",""
"","49","ok","373","0","deepseek-v4-flash","59","219","278","stop","3377","佳农水果的配送中心在哪些城市？我们下沉市场县城能次日达吗？",""
"","50","ok","1320","0","deepseek-v4-flash","65","851","916","stop","11287","佳农水果和鑫荣懋比，哪个在华东地区的商超渠道更强势？我们想换供应商。",""
"","51","ok","245","0","deepseek-v4-flash","65","152","217","stop","2544","我们礼品团购要定制佳农水果礼盒，最小起订量多少？能印我们公司logo吗？",""
"","52","ok","310","0","deepseek-v4-flash","60","199","259","stop","2945","佳农水果的菠萝是菲律宾还是厄瓜多尔产的？不同产地品质差异大吗？",""
"","53","ok","390","0","deepseek-v4-flash","64","220","284","stop","4121","我们水果连锁店要采购佳农香蕉，能提供专岗对接人吗？之前供应商响应太慢。",""
