好的，针对水果区提高客单价，这里有几种可行的组合促销方案，你可以根据超市定位和客群选择执行：

**方案一：家庭装/囤货型（适合周末、节假日前）**
- **组合**：一串香蕉 + 1个菠萝 + 5个苹果（或按斤称重，例如各0.5kg）
- **定价策略**：原价合计约X元，组合价定为X-5元，或“满35减5”的优惠券形式。
- **理由**：这三种水果都是家庭消耗较快的品类，组合后单价提升明显，且方便顾客一站式采购。

**方案二：健康能量早餐型（适合上班族、学生）**
- **组合**：1根香蕉 + 1个苹果 + 小份菠萝切块（盒装）
- **定价策略**：套装价9.9元或12.9元，单买至少15元。
- **理由**：便携即食，突出“早餐加一份水果”的场景，让顾客感觉既划算又省事。

**方案三：加购补差价型（降低决策门槛）**
- **操作**：香蕉单价特价（例如1.99元/斤），但需**加购**一个菠萝或5个苹果才能享受此价格。或者购买菠萝后，苹果加1元换购3个。
- **理由**：以低价爆品吸引流量，再通过搭售抬高客单价。香蕉作为引流品，苹果和菠萝作为利润品。

**执行小贴士**：
1. **视觉引导**：用显眼的爆炸签或立牌，写上例如“香蕉+菠萝+苹果，省XX元”“今日特惠组合”等文案。
2. **试吃配合**：在组合旁边提供切好的菠萝和苹果试吃，口感好能直接促进成交。
3. **包装升级**：如果做切块小盒装，可以附赠一根签字或小叉子，提升体验感。
4. **时段微调**：下午4点后可以将组合改为“切块拼盘”，走量清理当日不新鲜的库存。
