第一次找水果供货商，建议遵循“小批量、多批次、看损耗”的原则。以下是针对香蕉、苹果、橙子三种常见水果的试单操作建议：

**1. 试单数量设定**
- **香蕉**：建议试单 **1-2箱**（约13-15公斤/箱）。香蕉是后熟型水果，成色变化快，试单量不宜大。
- **苹果**：建议试单 **1-2箱**（约20公斤/箱）。苹果耐储存，但容易有冷库货与新货混卖问题。
- **橙子**：建议试单 **1-2箱**（约15-20公斤/箱）。重点看表皮新鲜度、切开后是否干水。

**2. 试单流程**
- 先到当地农批市场找5-8家商户要报价单及样品照片，优先找在售品类全、档口大的。
- 发“试单采购单”给供货商，列明：品名、产地、单件重量、采购箱数、送货时间、结款方式（建议首次现结）。
- **每次只找1-2家下单**，不同供应商错开3-5天到货，方便单独评估。

**3. 到货评估标准（必须当场记录）**
- **香蕉**：
  - 催熟度：是否已上色（绿熟最耐放，四成黄较理想）。
  - 损伤：果柄断裂数量、表面黑斑点比例（超过10%退货）。
  - 称重：抽查单根重量是否足量（去皮后秤）。
- **苹果**：
  - 品种辨真：咬开后看果肉颜色、口感甜脆度，对比你要求的品种（如红富士）。
  - 存放：看是否有冷库味或氧化现象（切开5分钟后是否变黄快）。
  - 外观：果面斑点、磕碰、果形规整度（不规整超过15%可拒收）。
- **橙子**：
  - 重量感：拿起来应有沉感、果皮光泽自然（涂蜡果皮会有异常油光）。
  - 切开试吃：尝酸度、纤维化程度（切开后内部白色筋络多、汁水少说明不新鲜）。
  - 底部：查看果脐（若有黑点或腐烂小孔，是虫害果）。

**4. 压价与结款**
- 试单不压价，但要问清“正常批发价”。试单完结款及时，能建立信用。
- 记录每家供应商的：到货准时率、实际重量是否足、损耗比例（建议控制在：香蕉5%以内、苹果3%以内、橙子2%以内）。 
- 试单评估周期：**至少2周内试2-3批**，才能看出供货稳定性。

**5. 风险提示**
- 不要被低报价吸引，首次尽量选择“报价居中偏高”的供应商，其品控往往更有保障。
- 坚决只接受现结（到付或现金），拒绝预付款试单。
- 对任何“箱子底部藏坏果/垫重物”的情况，拍照留证，下次不再采购。

若试单后你发现某家货损耗低于3%、送货准时、问题果处理积极，可考虑转为每月稳定合作1-2次。
