在超市与水果供应商的业务谈判中，**账期（即结算周期）通常集中在30天至90天之间**，具体取决于多种因素，常见情况如下：

**1. 行业普遍区间**
- **连锁超市（大卖场）**：通常是 **60天~90天**，这是行业默认的“霸王条款”区间。例如，永辉、沃尔玛等大型连锁标准账期为60-75天，部分甚至到90天或更长（含促销费、进场费等附加扣点）。
- **中型超市/社区生鲜店**：多为 **30天~60天**。
- **小型便利店/个体超市**：现金结算或 **7~15天** 短账期居多，因为生鲜水果损耗率高，供应商对小店信任度低。

**2. 影响账期长短的核心因素**
- **水果品类**：易腐商品（如草莓、荔枝）账期极短（甚至现结或一周），因为供应商承担极大损耗风险；耐储存水果（如苹果、柑橘、瓜类）可谈较长账期（60天以上）。
- **供应商规模**：大型、品牌供应商有议价能力，能要短账期或现结；中小型供应批发商往往被迫接受长账期以换取渠道。
- **超市信用与规模**：上市公司/百强连锁谈判优势极大，通常按行规执行，供应商基本没有议价空间；中小型超市为吸引优质货源，往往主动给短账期。
- **节假日/季节性**：春节前备货旺季，供应商会要求缩短账期（提前结清）以防资金断裂，否则不愿发货。

**3. 特殊结算模式（变相账期）**
- **代销/联营**：超市按实际销售额的一定比例（如25%-30%）扣点后，**次月或次次月**返还给供应商，实际回款周期可达**60-120天**。
- **“月结30天/60天”**：即上月货款在下月月底前支付，实际到账往往滞后10-20天，供应商需特别注意合同中的“对账日”和“付款日”以计算真正现金回款时间。

**4. 谈判建议（如果您是供应商）**
- 若对方坚持长账期，可要求：
  - **缩短至45天以内**（对中小超市成功率较高）。
  - 引入**“现结折扣”**（如3%现金折扣换取7天内结款）。
  - 对易腐新品或应季限量水果，坚持**先款后货或缩短至7天**，否则宁可不供货。
  - 在合同中写明确**“到期不付利息罚则”**，但实操中很被动，主要依赖对超市风控的信任。

**总结**
- **最常规**：连锁超市60天，小型超市30天。
- **大宗走量或强势超市**：90天不罕见。
- **生鲜高风险单品**：7-15天甚至现结是合理的。

如果对方开口要120天以上，建议直接放弃——这类账期对于水果这种高损耗品，基本意味着供应商要承担资金和损耗双重压力，很可能导致亏损或断供。
