在水果采购合同中，**坏果率（损耗率）的赔付标准通常由双方协商确定**，没有全国统一的法定数值。但行业内一般会采用以下常见做法供你参考：

**1. 行业常见约定（参考值）**
- **到货验收时**：一般约定**坏果率不超过 2%-5%**（视水果品种、运输距离、季节而定）。例如，草莓、蓝莓等易腐水果允许率高一点（5%），苹果、柑橘等耐储存的可要求低一点（2%）。
- **销售期内（如冷藏/常温存放后）**：通常要求**坏果率不超过 1%-3%**，否则视为品质不合格。

**2. 赔付机制通常分档：**
- **超出约定比例的**：按超出部分**退款或折价补偿**。例如，约定坏果率≤3%，实际达到8%，则超出5%的部分，按采购单价退还货款。
- **严重超标（如超过10%-15%）**：可能构成**根本违约**，买方有权**拒收整批货物**或要求**全部退货退款**，并主张违约金/运费损失。

**3. 必须写进合同的关键点：**
- **明确“坏果”定义**：如腐烂、霉变、明显机械伤、软烂流水等，需拍照留证。
- **明确验收节点**：是“到货即验”还是“签收后24小时内”，以及是否包含运输途中的自然损耗。
- **约定异议期**：通常要求收货后**24-48小时**内书面提出异议，逾期视为合格。
- **保留证据**：抽检需双方在场，若有争议可委托第三方检测（如当地农检机构）。

**4. 特别提醒（避免踩坑）：**
- 如果合同里写的是“运输损耗全部由买方承担”，那么即使坏果率超标，你可能也无法要回货款——建议在签约前修改为“运输损耗在3%以内由买方承担，超出部分由卖方负责”。
- 不要只写“坏果赔付”，还要明确**是退款、换货还是补发**，以及赔付时限（如3天内处理）。

**最终建议：** 建议直接约定一个**明确的数字（如不超过3%）**，并附上“超出部分按单价×数量，以现金或抵扣货款方式补偿”，这样最可执行。如果对方拒绝写明具体比例，只写“合理损耗”，那就要谨慎签约，因为后续维权会非常困难。
