买香蕉时优先选**未完全成熟、表皮偏青或微黄、无黑点**的香蕉，能明显延缓到店后变黑。具体可按下面做：

1. **看成熟度**
   - 选“青黄相间、手感硬实”的。
   - 避免已经全黄、带黑点、发软、有酒味的。
   - 甜品店若当天要用，可少量买微黄；若备2–3天，买偏青的。

2. **看果柄和棱角**
   - 果柄青绿、切口新鲜，通常更耐放。
   - 香蕉棱角明显、饱满但不过软，比圆润发软的更耐存。

3. **采购时轻拿轻放**
   - 香蕉怕压、怕碰、怕擦伤。
   - 不要整箱重压，不要和硬物混装。
   - 有碰伤的香蕉会先黑、先烂。

4. **到店后先别急着冷藏**
   - 未熟香蕉放**阴凉通风处**，适宜大约 **13–15℃**。
   - 不要放冰箱冷藏，除非已经成熟且准备尽快用；低温会让青香蕉冻伤、发黑。
   - 避免靠近暖气、灶台、阳光直射处。

5. **减少乙烯影响**
   - 香蕉自身会释放乙烯，越熟释放越快。
   - 到店后可**分把、剪开成小串**，别整大串堆在一起。
   - 不要和苹果、梨、番茄等催熟型水果放一起。
   - 若已经很熟，可单独隔离，优先使用。

6. **悬挂或架空存放**
   - 用挂钩悬挂，或放在透气筐里，减少底部受压。
   - 不要密封在塑料袋里，容易闷热、积水、发黑。
   - 若必须装箱，铺纸、留通风孔，别堆太满。

7. **按用量分批采购**
   - 甜品店最好“少量多次”采购，而不是一次囤太多。
   - 每天检查，先熟先用，把开始变黄的优先做香蕉泥、奶昔、烘焙等。
   - 已经熟透但没坏的，可去皮冷冻，后续做冰沙、香蕉泥。

8. **特殊处理**
   - 若需要延长1–2天，可把香蕉用报纸或纸袋松散包住，放阴凉处。
   - 不要用完全密封的塑料袋。
   - 若表皮刚出现少量黑点但果肉完好，尽快加工使用。

简单判断：**买青一点、别压伤、别冷藏、别闷袋、别和催熟水果混放、少量多次买**，基本就能避免到店后很快变黑。
