对于夫妻店第一次找水果供货商，建议采用“小批量、多品种、低风险”的策略试单。以下是针对香蕉、苹果、橙子的具体操作建议：

**1. 试单核心原则：**
- **小批量起订**：每种水果首次进货量控制在当日预估销量的1-2倍（如：香蕉2-3箱，苹果1-2箱，橙子1-2箱），不要贪多。
- **分天测试**：尽量分两天或三天慢慢进货，比如第一天进香蕉，第二天进苹果，避免同时压货。
- **现金交易优先**：首次合作坚持现结，不赊账，降低资金风险。

**2. 针对不同水果的试单技巧：**

- **香蕉**：缺点是催熟难控、易碰伤。建议：直接进“二线品牌”或“熟度偏生”（七成熟），自己放在25℃通风处催熟。不要进整串，要选包装箱内单根或小把的，方便挑拣。首次只进1箱，看成熟速度和损耗率。
- **苹果**：易于储存但口感差异大。建议：选择“脆甜型”基础款（如红富士），但不要进最贵的精品果。优先看产地（如陕西/山东富士），要求供货商提供“同批次样品”尝一口。首次进1-2箱，注意检查有无伤口、黑心。
- **橙子**：重点是酸度和水分。建议：选“纽荷尔脐橙”或“赣南脐橙”等稳定品种。不要买早熟果（可能酸涩）。试单时切开检查果皮厚薄、汁水。首次只进1箱，放3天观察是否易发霉。

**3. 现场验收要快准（带水、抹布、电子秤）：**
- **开箱抽检**：每箱随机拿3-5个检查外观，重点看底部（易发霉）、果柄（是否干枯）。
- **称重与计数**：整箱称毛重，减去箱子标准皮重（要求供货商标出），实际净重是否达标。
- **尝一口**：用湿布擦净果皮，直接切开品尝（苹果、橙子必须尝，香蕉看颜色和软度）。
- **记录**：当场用手机拍下箱子标签、发票、实物照片，标注日期和单价。

**4. 下次追加的判断标准：**
- 如果1箱香蕉在2-3天内卖完，且成熟损耗（发黑、烂柄）不超过5%，可以稳定进货。
- 如果苹果/橙子在4天内没有明显破损或变质，且顾客反馈好，可以加量至2箱，并试下一批新品种。

**5. 特别提醒：**
- 对供货商直接说：“我是小店刚开，先拿几箱试试，卖得好长期从你这走。” 这能让他们给品相较好的货。
- 避免第一次就签合同或交押金。
- 如果发现一箱中有超过2-3个腐烂或明显变质的水果，立即拍照沟通并要求退货或补偿，不要碍于面子。

最终建议：**用“亏一箱不心疼”的预算来试单**。只要不压货、不欠款、不迷信“便宜”，夫妻店通常能在3-5次试单后找到靠谱的供货商。
