关于佳农水果的配送时效，**一般在下单后1-3天内送达**，但具体时间取决于你所在的地区、下单渠道以及购买的水果品类（如是否涉及冷链运输）。

以下是具体的情况说明：

1. **主流电商平台（如天猫、京东、拼多多）**：
   - 通常发货地在上海、浙江等佳农主要仓配中心。
   - 如果你在**江浙沪**等核心区域，一般**次日达或隔日达（1-2天）**。
   - 如果是**偏远地区（如新疆、西藏、内蒙古等）**，因运输距离长，通常需要**3-5天**，且部分易腐水果（如鲜榴莲、草莓）可能不支持配送。
2. **佳农官方小程序/自有渠道**：
   - 一般承诺48小时内发货，具体时效以页面显示的“预计送达时间”为准。
   - 若遇节假日或大促（如双11、年货节），时效可能顺延1-2天。
3. **冷链配送（如冻品、鲜果）**：
   - 佳农的鲜果（如蓝莓、车厘子）多为冷链运输，能保证新鲜度，但时效通常比普通快递更严格，**越新鲜的水果越可能导致配送时间略有延长**（因为需预留预冷和包装时间）。

**即时确认建议**：
- 在下单页面上，系统会根据你的收货地址精确显示“预计送达时间”，请以此为准。
- 若下单后超过3天未收到，建议在订单详情页点击“联系商家”或拨打包装箱上的客服电话查询物流。

**特别提示**：佳农水果多为“次日达”或“隔日达”，但也存在因天气、疫情等不可抗力导致的延迟。**如果配送超时，建议直接联系店铺客服核实，不要轻信非官方渠道的物流信息。**

如果你需要查询某个具体城市或具体水果的精确时效，请告知我城市名和水果品类，我可以给出更针对性的回答。
