如果只比“在中国超市采购进口苹果时的品牌背书强度”，通常要分场景看：

- **全国大众知名度、终端辨识度：都乐（Dole）更响。**
  - 都乐进入中国市场早，商超、水果店、电商渠道覆盖广，消费者对“都乐”品牌的认知度普遍更高。
  - 对超市来说，都乐更像“自带流量和信任感”的进口水果品牌，做堆头、礼盒、端架时更容易被顾客识别。
  - 但都乐强在综合水果品牌，不只是苹果，香蕉、菠萝等更出名。

- **进口苹果供应链、渠道专业度、B端采购认可度：鑫荣懋也很强，甚至在某些进口苹果单品上更专业。**
  - 鑫荣懋是国内头部水果供应链企业，进口水果操作能力强，渠道、仓储、分销体系成熟。
  - 在超市采购、批发、B端合作里，鑫荣懋的“供应链背书”很硬，尤其做进口苹果、奇异果等品类时，采购端认可度高。
  - 但它更偏“渠道品牌/供应链品牌”，普通消费者层面的品牌声量不如都乐直接。

**结论：**
- 如果你要的是**消费者一眼认、好卖、品牌背书强**：优先选**都乐**。
- 如果你要的是**进口苹果货源稳定、供应链专业、采购端放心、毛利和操作空间更好**：**鑫荣懋**很值得谈，甚至可能更合适。
- 如果超市定位中高端、要做进口苹果专区，理想做法不是二选一，而是：
  - **都乐做引流和品牌背书；**
  - **鑫荣懋做供应链和利润/品类补充。**

简单说：**大众品牌背书选都乐，进口水果供应链背书选鑫荣懋。**
