判断香蕉批次的熟度和坏果风险，核心看**颜色、硬度、果指状态、果柄切口、气味和箱内环境**。批发场景下建议按下面顺序快速筛：

1. **看颜色**
   - 全青：生，适合远途或需催熟，但抗病差、易受冷害。
   - 青黄转色、果尖先黄：正常后熟中，适合短途批发。
   - 通体黄、带少量糖斑：即食熟度，货架期短，需快出。
   - 大面积黑斑、果柄发黑：过熟或已开始腐烂，坏果风险高。

2. **摸硬度**
   - 硬、无弹性：生。
   - 微软、有弹性：适熟。
   - 一按一个坑、发软发黏：过熟，运输和存放风险大。
   - 局部硬块或水渍状：可能内腐或碰伤。

3. **看果指和果柄**
   - 果指饱满、棱角不明显：发育好。
   - 果指干瘪、棱角尖：可能早采或失水。
   - 果柄切口新鲜、无霉层：较好。
   - 果柄发黑、长毛、流汁：霉菌感染风险高，整箱要警惕。

4. **看蕉串/箱内状态**
   - 同一箱颜色差异大：成熟不匀，后熟难控。
   - 有压伤、裂果、渗液：坏果会传染，需挑出。
   - 箱底有汁液、酒味、酸味：已发热或腐烂，风险很高。
   - 包装内水汽大、温度高：易长霉，尤其炭疽病。

5. **闻气味**
   - 清香：正常。
   - 酒味、酸味、发酵味：过熟或内部腐烂。
   - 霉味：霉菌污染，整批慎收。

6. **抽样判断**
   - 不要只看表面。随机抽 3-5 箱，每箱看上下层和中间。
   - 用手轻按不同位置，找软点、水渍点。
   - 记录：青果比例、转色比例、软果比例、霉果比例、裂果比例。
   - 若软果/霉果/裂果合计超过 5%-10%，就要压价或拒收；超过 10% 通常风险已很高。

7. **结合用途判断**
   - 要囤货/远途：选青硬、无伤、切口新鲜，但注意冷害。
   - 要马上批发：选青黄转色、微软、无黑斑。
   - 要即食零售：可接受少量糖斑，但不能有霉、裂、渗液。

8. **关键风险信号**
   - 果柄发霉、箱底湿、酒味重：直接高风险。
   - 局部软但外皮正常：可能是内部碰伤或腐烂，切开看。
   - 青果中混有软果：说明受热或催熟不均，存放会迅速恶化。
   - 冷害表现：表皮灰暗、维管束变黑、催熟后发僵不软，这种货后续坏果多。

实操建议：收货时按“**颜色分档 + 手捏软硬 + 查果柄和箱底 + 闻味 + 抽样比例**”五步走。只要出现霉、酒味、渗液、大面积软果，就不要按正常货收。
