企业在采购水果礼盒作为员工福利时，**是否需要供应商支持开发票和定制包装，取决于企业自身的财务合规要求和发放场景。** 我的建议是：

**1. 发票（必须支持）**
- **财务入账需求**：企业采购属于经营支出，必须取得合规的增值税发票（专票可抵扣，普票计入成本）。如果供应商无法提供发票，企业无法报销或做账。
- **税务风险**：无票采购在审计时容易被认定为不合规，甚至引发税务风险，因此**建议明确要求供应商必须提供“增值税普通发票或专用发票”**，并核对开票内容（如“水果”或“预包装食品”）。

**2. 定制包装（看用途）**
- **公司形象展示**：如果礼盒是节日慰问（如中秋、春节）或客户答谢，定制包装（印公司Logo、祝福语）能提升品牌形象和仪式感，**建议选用**。
- **内部员工福利**：如果仅是发放给员工的日常福利，对包装要求较低，标准礼盒即可，定制会增加成本和交期。
- **成本与起订量**：定制包装通常有起订量（如50盒以上）和额外设计费，若采购量小，性价比不高。

**总结建议**：
- **发票**：必须支持，且提前确认开票税率（一般纳税人9%或小规模1%/3%）。
- **包装**：结合预算和发放对象决定；若需定制，**务必在合同中注明具体设计图、材质、印刷色差要求及交期**，防止实物与预期不符。

如果供应商不能同时满足这两项，建议更换供应商，避免后期财务或行政纠纷。
