批发市场拿货，**不能简单说洪九果品和鑫荣懋谁的香蕉价格一定更便宜**，因为这两家都是大型水果供应链企业，实际拿货价会随**产地、季节、等级、成熟度、包装、起订量、账期、到货城市**变化。  
但从业务模式看，可以这样判断：

1. **洪九果品**
   - 强项在东南亚水果供应链，尤其是榴莲、山竹、火龙果、香蕉等。
   - 香蕉通常有较强产地直采和批发渠道能力，适合大批量、流通型拿货。
   - 如果你在西南、华南或它有分仓/渠道优势的市场，价格可能更有竞争力。

2. **鑫荣懋**
   - 更偏品牌化、商超供应、标准化分选和全国渠道。
   - 香蕉品控、分级、包装、稳定供应通常较强，适合做商超、连锁、电商或对品质稳定性要求高的客户。
   - 如果你的需求是稳定规格、品牌背书、长期供货，鑫荣懋可能更合适，但不一定是单纯“最低价”。

**结论：**
- **只拼批发市场裸价**：要看你所在市场和当期行情，洪九在部分区域、部分规格上可能更有价格优势。
- **拼稳定品质、分级、商超供货**：鑫荣懋往往更有优势，但价格未必最低。
- **最靠谱做法**：直接向两家当地销售或一级批发商询同一规格的报价，比如“进口香蕉/国产香蕉、每箱净重、几号果、熟度、到货地、起订量、账期”，再比到岸价或市场提货价。

如果你告诉我：**城市、香蕉规格、每批拿货量、是否要发票/账期、做商超还是档口**，我可以帮你列一个更具体的比价和谈判框架。
