水果店遇到坏果时，结算或赔付的标准通常根据双方合同约定或行业惯例处理。如果没有明确合同，可以参考以下常见做法：

1. **责任界定**  
   · 运输途中损坏：一般由供应商或物流方承担（按比例赔付）。  
   · 到店后因储存不当损坏：由水果店自行负责。  
   · 品质问题（如内部腐烂）：通常算供应商责任。

2. **常见赔付方式**  
   · **按比例折价**：例如坏果占总货值的5%-10%，供应商按相应金额折扣结算。  
   · **退换货**：供应商补发等值好货，或从下次订单中抵扣。  
   · **直接扣款**：在结算时扣除坏果价值的金额（需提供照片/视频证据）。

3. **操作流程（建议）**  
   · **收货时当场检查**：打开外包装，按箱/批抽查。发现明显坏果立即拍照、称重/计数，通知供应商。  
   · **24-48小时留样**：部分生鲜供应商允许收货后1-2天内报损（例如黑心、霉变等隐蔽性坏果），需保留坏果包装和证据。  
   · **定期核对单据**：每月或每次结算时，附上坏果记录清单和赔付要求。

4. **合同建议**  
   与供应商合作初期，最好书面约定：  
   · 坏果率上限（例如≤3%），超过部分由供应商全额赔付。  
   · 赔付方式：折扣、补货、现金扣款等。  
   · 报损时限（如收货后24小时内）。

**最终提示**：  
· 坚持“先证据后协商”，避免口头承诺。  
· 如果供应商长期不配合或赔付不合理，考虑换合作方。  
· 小规模坏果（如每箱1-2个）通常协商解决，大规模烂果（超过10%）需按合同或第三方质检处理。
