单位采购水果时，如果到货品质与合同或样品不一致，属于典型的履约瑕疵。以下是**验收**和**售后**两个环节的操作建议，按步骤执行即可：

---

### 一、验收环节（最关键，直接决定责任认定）

**1. 先封存样品，后开箱**
- 合同或采购单中必须明确水果的**品种、产地、规格（如单个克重/尺寸）、成熟度、允许瑕疵率（如磕碰、斑点≤2%）**。
- 到货后，**优先随机抽取同一批次样品若干箱**，与采购前确认的样品或标准进行比对，拍照/录像留证（包括箱体标签、打印日期）。

**2. 分批次全检或抽检**
- 小批量（如200箱以内）：建议每箱开箱抽查，重点看**底层、边角处**是否混入次品。
- 大批量：按“每批次**抽检10%-20%**，每箱抽检底部与表层”执行，计算**合格率**。
- 记录数据：总箱数、抽查箱数、次品数量、主要问题类型（腐烂/撞伤/大小不符/发霉）。

**3. 当场出具验收单**
- 验收单上写明：到货时间、批次、总数、抽检结果、**不合格品数量及具体问题**，并要求送货司机或供应商代表签字确认。
- 若供应商拒绝签字，保留录像并书面通知供应商限期处理。

**4. 异常处理原则**
- 轻微瑕疵（如个别表皮划伤、不影响食用）：可折算折扣收货（如按数量折价）。
- 明显不合格（腐烂、明显大小不一、品种不符）：**拒绝签收或部分拒收**，并立即通知采购负责人。

---

### 二、售后环节（依据验收记录主张权利）

**1. 48小时内书面索赔**
- 超过约定验收期（通常为到货后24-48小时）再申报，供应商可能拒绝。必须在发现问题的**当日内**发送书面《质量异议函》，附照片、视频、验收单扫描件。

**2. 明确售后方式（按以下优先级协商）**
- **全额退换**：不合格率超过20%时，可要求整批退换，运费由供应商承担。
- **差额换货**：分批处理，次品部分要求补发等量合格品，或按次品数量退款。
- **折价结算**：若次品可降级使用（如做果汁），可协商按原价的50%-70%结算该部分货款。
- **赔付违约金**：若合同中有质量违约金条款，按条款执行；无条款可参照《民法典》关于质量不符合约定的责任，索赔直接损失（如人工分拣费、废弃处理费）。

**3. 留存完整证据链**
- 包括：采购合同、到货单、验收单、照片/视频、与供应商的沟通记录（微信/邮件）。
- 涉及第三方物流时，注明“外包装完好但内物损坏”，以防承运方推责。

**4. 极端情况（无法协商）**
- 若供应商拒不处理，可暂停支付对应货款（需合同有约定或法律上合理），同时向市场监督管理局投诉或依据合同约定申请仲裁/诉讼。

---

### 三、预防下次出现的建议
- 采购合同中明确写明“**到货标准以封存样品为准**”，并附样品照片。
- 要求供应商提供**出厂检验报告**或第三方检测报告（重点看农残、新鲜度）。
- 分批到货的大单，可约定“**首批验收合格后才支付后续款项**”。

---

**总结一句话**：验收抓现场、留证据，售后抓时限、书面化。如果在操作中遇到供应商推诿，直接引用合同条款并书面索赔，避免口头拉扯。
