和酒店供应商谈水果长期合作时，稳定是第一诉求，但**“稳定”不等于“贵”**。以下是你需要重点关注的几个维度，按优先级排序：

**1. 供应保障条款（核心）**
- **每日/每周固定量**：明确最低起送量，避免供应商因量少拒单。
- **异常天气与缺货预案**：必须书面约定“当某水果断货时，供应商需提前12小时通知，并提供同价位替代果品（需提前确认可替换清单）”。
- **到货时间**：写明“每日几点前送达”，并设置迟到扣款比例（例如每分钟0.5%）。

**2. 质量标准与验收**
- **退换货标准**：明确“青、烂、压伤、过熟”的界定比例（例如：损耗超过5%部分无条件补货）。
- **二次加工损耗**：酒店通常用切片水果，烂芯、发霉切掉后重量如何算？建议按“净重结算”，而非箱重。
- **随货检验**：每批次要求附产地证明、农残检测报告（不要口头承诺，索要纸质或电子档）。

**3. 价格与成本控制**
- **价格联动机制**：水果价格波动大，谈固定价基本不可能。建议约定“以批发市场当日均价为基准，供应商加价率不超过X%”，并要求每周提供价格依据截图。
- **账期**：常规是月结30天或45天，但注意设置**延迟付款利息**条款，防止供应商中途涨价跑路。
- **试用期**：先签1个月试用合同，检验稳定性后再签年度合同，千万别一上来签长期死约。

**4. 合作风险单方面转移**
- **独家供应垄断危险**：明确“不设独家供货”，保留引进第二家供应商的权利（哪怕量小，用来制衡价格）。
- **违约金**：供应商无故断供的违约责任要具体到金额（例如：按当日订货金额的20%赔偿酒店损失，而不是“赔偿实际损失”这种模糊条款）。

**5. 隐性成本检查**
- **包装品回收**：泡沫箱、冰袋是否退还给供应商？不写清楚，这些成本会变成你的每日垃圾处理费。
- **节假日溢价**：国庆、春节等节日涨价幅度需提前约定上限，防止临时翻倍。

**最后给你一个实操建议**：谈判时带一包A4纸和电子秤。请供应商当场称重某份样品，剥皮去核后看真实净重——这一步能直接看穿他报价的“含水量”。

需要的话，我可以帮你草拟一份《酒店水果供应框架协议》的关键条款清单。
