采购方向水果供应商核实“全国配送”能力时，可以按照以下步骤进行**可执行、可验证**的核实，避免被口头承诺误导：

### 一、要求提供书面“配送覆盖明细”
直接索要**加盖公章的《配送服务覆盖范围说明》**，而不是简单听口头描述。重点看：
- **明确列出具体省份、城市、乡镇**，看是否包含自己所在地的行政区划（精确到区、县）。
- **注明配送时效**（如：24小时达、48小时达），以及**起送量**（最小订单金额或重量）。
- **标注冷链/常温配送范围**——水果对温度敏感，如果对方只说“全国”，但只有常温物流，实际覆盖意义不大。

### 二、索要“真实物流合作单据”验证
- 要求提供**最近1个月内的3-5张不同省份的物流发货单或快递面单**（注意打码敏感信息），核对发货地、收货地、物流公司名称。
- **拨打面单上的快递客服电话**（不通过供应商），报单号查询该单实际运输轨迹和签收记录，确认是否真实发生。
- 如果是冷链车，要求提供**车辆运输温度记录截图**或**冷链温控数据平台截图**，证明全程可控。

### 三、对“偏远远程地区”做针对性测试
- 挑选**2-3个代表性地点**（比如：新疆乌鲁木齐、西藏拉萨、黑龙江大兴安岭等真实地址），要求供应商提供**到这两个具体地址的运费报价和配送时长**。
- 如果对方含糊其辞、说“需要加钱”或“大概能到”，说明其实际覆盖能力有限，可能只覆盖主要城市中心。

### 四、实际下单“小批量试单”
- **不要一次性下大单**。先下一个小批量订单，发往**自己或合作伙伴的真实收货地址**（最好选一个非省会城市或县级市），全程跟踪：
  - 记录下单到发货的时间；
  - 记录发货后物流跟踪轨迹是否正常出现；
  - 收货后检查水果新鲜度和包装破损率。
- 试单能直接检验对方的仓储、配货、物流调度是否顺畅，而非口头能力。

### 五、查询供应商资质与历史案例
- 用“国家企业信用信息公示系统”查询公司注册信息、经营异常名录，看是否存在物流纠纷记录。
- 在电商平台（如1688、京东企业购）或招标网站上搜索该供应商的**历史配送案例/中标公告**，看是否有进入偏远地区的实际记录。

### 六、签署明确违约责任
- 在合同中**量化**配送能力条款，例如：**“乙方承诺覆盖甲方指定省份（列出名单），若因配送原因导致甲方收货延误或拒收，每单按货值X%赔偿，且甲方有权取消合同”**。
- 要求对方提供**配送失败或无法送达时的兜底方案**（如：转寄、退款、补偿），避免事后扯皮。

---

**核心原则：** 凡是不能提供**明确区域清单 + 真实单号 + 可查物流轨迹**的，建议视为“覆盖能力存疑”，先按局部配送合作，再逐步扩大测试范围。不要只依赖对方自制的“配送范围图”或PPT。
