在超市与水果供应商的账期谈判中，常见的账期天数通常取决于超市的规模、水果品类（是否易腐）、供应商实力以及行业惯例。一般来说，**15-30天** 是较为常见的范围，但具体可细分为以下几种情况：

### 1. 按超市规模
-   **大型连锁超市（如沃尔玛、永辉、大润发等）**：账期往往较长，通常在 **30-60天**，甚至更长。强势的卖场可能要求 45天或60天。
-   **中型超市或区域性连锁**：账期一般在 **15-30天**。
-   **小型超市、生鲜店或社区超市**：账期较短，多为 **7-15天**（部分可能现结）。

### 2. 按水果品类（核心影响因素）
由于水果是生鲜易腐品，账期不能像干货一样长：
-   **高损耗、易腐烂水果（如草莓、荔枝、车厘子、熟香蕉）**：账期通常严格控制在 **7-15天** 以内，甚至要求 **周结**（7天）。供应商会极力缩短账期以减少坏货风险。
-   **耐储存水果（如苹果、橙子、柚子、西瓜）**：账期可以相对延长，多在 **15-30天**。
-   **反季节或高端进口水果（如榴莲、进口车厘子、蓝莓）**：由于采购成本高、现货压力大，供应链强势的供应商可能只接受 **现结或7-15天**，如果超市要求较长账期，供应商会要求加价或缩短退换货期限。

### 3. 行业谈判现状（2024-2025趋势）
-   **账期竞争：** 目前零售端竞争激烈，多数超市为缓解资金压力，倾向于 **30天** 作为起步谈判点。
-   **供应商底线：** 对于水果来说，超过 **45-60天** 的账期非常罕见，除非供应商利润极高或超市承担了部分损耗（如卖不完可退货）。超过60天，供应商通常无法承受资金压力和坏货风险。
-   **支付节点：** 不只看天数，还要看具体的结算周期（如月结15天、月结30天）。例如“月结30天”意味着1月的货款要到3月初才能拿到，实际账期长达45-60天。

### 4. 实操建议
-   **如果你是超市方**：建议初始报价 **30天净账期**（从到货日期起算）。如果对方坚持短账期，可提出“**提高账期可缩短，但需要增加扣点或提供损耗补贴**”作为交换。
-   **如果你是供应商**：优先争取 **周结（7天）** 或 **月结（30天以内）**。若超市要求长账期，一定要在合同中明确 **逾期付款的违约金**（通常为每日万分之三至万分之五）以及 **坏货退换条款**，切勿接受“账期60天且无售后退货”的条款。
-   **行业参考点**：**15天账期** 是水果行业相对健康的平衡点，**30天** 是超市端的常见上限。

**总结：**
-   **最常见：30天**（大型超市的标准尝试值）
-   **对供应商最友好/水果品类最佳：7-15天**
-   **行业底线：最长不超过60天，且必须另有损耗或利润保障条款。**
