采购菠萝时，判断合适熟度可以结合以下几点：

1. **外观颜色**  
   - **外部果皮**：成熟菠萝的果皮呈金黄色或黄中带绿，颜色均匀。青绿色的通常未熟，完全金黄的可能过熟。  
   - **叶子**：新鲜、翠绿、挺立的叶子，说明果实较新鲜；如果叶子枯黄或变软，可能存放时间较长。

2. **按压硬度**  
   - 用手轻按菠萝果身，感觉**有弹性、稍软**（但不过分凹陷）为成熟适中。  
   - 如果坚硬如石，说明未熟；如果按压凹陷厉害，可能过熟或已开始腐烂。

3. **气味**  
   - 成熟菠萝会散发浓郁甜香，尤其是底部（果柄端）气味最明显。  
   - 无味或青草味表示未熟；有酒精味或酸味则过熟变质。

4. **重量与声音**  
   - **掂重量**：同等大小选**较重者**，说明水分足、果肉充实；过轻可能脱水或果肉干瘪。  
   - **敲击法**：手指弹击果身，声音**低沉、实心**的较成熟；声音清脆空洞可能未熟或内部空芯。

5. **底部（果眼）状态**  
   - 观察底部小果眼（鳞片状突起），感觉**饱满、微微鼓起**，且容易拨动，通常成熟度好。  
   - 果眼扁平、紧贴果皮，往往未熟。

**采购建议**：  
- **分批采购**：按不同成熟度（如一成熟、七成熟、九成熟）搭配，便于根据销售节奏陆续上市。  
- **结合运输与存放**：如果长途运输或计划存放3天以上，选**轻压微硬、颜色黄绿**（七八成熟）的；如果立即销售，选**颜色金黄、轻压有弹性**（九成熟）的。  
- **避免过熟果**：注意检查果柄是否有湿软、霉斑或酒味，这些是腐败信号。  

这样能平衡损耗与口感，保证上架后既可较快出货，又不至于因未熟导致客户投诉。
