在超市门店采购苹果和橙子时，判断大小规格是否适合销售，主要从**客群定位、陈列标准、损耗率和性价比**四个维度综合考量。以下是可直接执行的具体标准：

### 第一步：先明确你的门店定位（决定“大”还是“小”）
- **高端社区店/精品超市**：客群对品质敏感，偏好大果。苹果建议选 **80#-85#**（直径80-85mm），橙子选 **75#-80#**，视觉饱满，单价高。
- **平价/促销门店**：更注重性价比，避免过大导致单果价格高。苹果可放宽至 **75#-80#**，橙子 **70#-75#**，走量快。
- **生鲜电商/线上到家**：建议统一采购中果（苹果80#、橙子75#），方便打包和标准化，避免消费者因“大小不一”投诉。

### 第二步：用“手测法”快速核验最小合格线
**苹果：**
- 单手握住苹果，**拇指和中指能环抱到果身中上部**，且指尖距离超过1厘米（说明直径约在75mm以上），即为合格。
- 若指尖贴紧果身，则偏小（约70mm以下），建议仅作促销引流品。

**橙子：**
- 选“鸡蛋大小”参考：一个正常大小的鸡蛋（长约5.5cm）为基准，橙子直径**明显大于鸡蛋1.5倍**以上（约7.5cm）即可。
- 更直接：**单果重量**苹果≥200g，橙子≥180g（不带叶）。

### 第三步：控制“大小均匀度”比单一大小更重要
- 采购时要求**同一批次内直径差不超过5mm**（比如苹果全部80-85mm，不要混入70mm和90mm）。
- 如果混装，必须分等级陈列（如“大果区”“中果区”），**避免消费者挑拣时造成损耗**，影响毛利。

### 第四步：计算损耗风险（防止“大果亏钱”）
- **苹果**：超过90mm的“巨果”不建议大批量采购。这种果皮厚、果核可能空心，且单价高，消费者购买率低，易滞留损耗。
- **橙子**：**超过90mm的橙子**，果皮往往过厚，出汁率反而低，顾客反馈“干水”。**小于65mm的橙子**酸度偏高。优选75-85mm区间。

### 第五步：最后做一次“价格-规格-毛利”测算
以橙子为例：
- 进货价：75mm橙子5元/斤，85mm橙子7元/斤。
- 若门店顾客买橙子主要用于榨汁，选75mm（出汁率高，便宜走量）；
- 若顾客用于送礼或散称，选85mm（卖相好，可溢价至9.9元/斤）。
- **核心原则：售价比（零售价/进价）≥1.8才值得采购**，否则换规格。

### 特殊情况提醒
- **应季果**（如赣南脐橙、红富士）刚上市时，大小规格往往偏大（因自然生长），此时可放宽标准采购，但需在标价签注明“当季大果”。
- 若门店周边有水果专卖店竞争，**比对方小一号的果**，价格降20%反而更好卖——错位竞争，而非盲目比大。

**最终判断一句话：**
> 苹果80#、橙子75#是万金油规格；如果做精品，上调5mm；做促销，下调5mm，且必须保证大小均匀度误差≤5mm。
