针对餐饮店每日少量水果的需求，建议选择以下类型的供应商，以兼顾便利性、稳定性和成本：

1. **社区生鲜超市或连锁便利店**  
   - 优点：门店覆盖广，距离近，可每日自取或快速配送；品种相对齐全，支持按量零售（如几个苹果、一把香蕉）；退货、换货方便。  
   - 适合场景：单次采购量小、品种灵活调整。

2. **线上生鲜平台（如美团优选、叮咚买菜、朴朴超市）**  
   - 优点：预订后次日自提或送货上门；支持小额起送（通常20-50元起）；水果新鲜度高，有统一包装和品质保障；可随时通过App调整订单。  
   - 注意点：需提前一天下单，适合有稳定采购计划的店。

3. **本地水果批发市场的小商户**  
   - 优点：价格更低，品种丰富；可协商少量多次拿货（如每天只进一箱或散称）；建立长期合作后，对方可能愿意免费配送。  
   - 操作建议：优先找档口位置偏僻、客流量小的商户，这类商家更愿意做小单生意。

4. **专做B端配送的“果切店”或“沙拉食材供应商”**  
   - 优点：可定制少量净果（去皮切块）或预处理组合（如三色水果拼盘）；包装规范，减少店内加工成本；通常按周或月结算。  
   - 适合场景：做果盘、果汁、沙拉或甜品点缀使用。

**省心核心策略**：  
- 固定1-2家供应商，每天通过微信/App发送“今日需XX斤X水果”，要求对方送货（可加10%服务费换取）。  
- 优先选择提供“当日达”且无起运量的商家，比如社区团购自提点（每天顺路取货）。  
- **避免**大型批发市场：他们多数只接大单（一箱起步），且需要自提。  

如果周边资源有限，可尝试在美团搜索“水果配送 附近”或“社区生鲜 批发”，筛选评价好的店铺直接致电问：“我每天要少量，能否固定送货上门？”。
