**结论前置**：**都乐（Dole）和鑫荣懋都能做到香蕉到货损耗率低于3%**，且这是国内大型连锁餐饮/零售供应商的基本承诺线，但**能否持续稳定做到，取决于合作模式、合同条款和操作细节**，而不是品牌本身。

---

### 一、两家公司的能力对比

| 维度 | 都乐（Dole） | 鑫荣懋（Golden Wing Mau） |
|------|-------------|--------------------------|
| **香蕉供应链成熟度** | 全球最大香蕉供应商之一，中国区有专属冷链仓 | 国内最大水果分销企业之一，香蕉是核心品类 |
| **产地控制力** | 菲律宾、南美自营农场+中国本地合作基地 | 菲律宾、厄瓜多尔等海外采购+国内广东、云南基地锁定 |
| **到货损耗控制** | 通常承诺≤3%（按箱计），大客户可谈≤2% | 同样可承诺≤3%，大客户（如海底捞、华莱士）执行≤2.5% |
| **标准做法** | 产地分级、预冷后装箱，全程冷链（12-14℃） | 产地直采+门店温度校验，支持“按成熟度分批次送货” |

---

### 二、实际能否达标的决定因素（比选品牌更重要）

1. **损耗计算口径**
   - 按“件数破损率”计算：两家都能达到<3%（通常1-2%）。
   - 按“称重净损率”（含去皮、水分蒸发、称重误差）：若要求严格按千克算，**到货损耗率低于3%需要定制条款**，否则可能落在3-5%之间。

2. **成熟度与配送频次**
   - 如果要求全部是“全青蕉”（7成熟以下），损耗极低（<1%）；如果要求“半熟可售状态”，损耗会上升，需供应商分批次补货。
   - 建议：**要求按“全青/微熟”到货，门店自行催熟**，这样损耗最容易控制。

3. **验收与季节**
   - 夏季高温月份（6-9月），无论哪家，如果冷链断链，损耗会破3%。必须要求对方提供**全程温度记录仪（温度记录可作为验收依据）**。
   - 冬季北运若未做防寒处理，也会出现冻伤损耗。

---

### 三、给你的实操建议（直接可执行）

1. **签合同前明确三条**（都能做到时再合作）：
   - 损耗定义：写明“到货破箱率≤3%”或“称重净损率≤3%”，二选一，不要模糊。
   - 超损赔偿：约定超1个点扣货款1%，超5%拒收。
   - 换货机制：签“短破损换货条款”，比如到货24小时内，按箱重差额补偿。

2. **选择供应商时针对性问两个问题**：
   - “你们最近3个月给同类型连锁餐饮客户（如肯德基、瑞幸、好特卖）的香蕉实际到货损耗数据是多少？”（要实际数据，不要口头承诺）
   - “能否提供小批量试订单（比如100箱）测试3周，按日监控损耗？”

3. **如果二选一，短期优先选鑫荣懋**：
   - 鑫荣懋在国内城市配送网络更细（本地前置仓多），对连锁门店“小批量、多频次”订单更灵活，更利于控制到货损耗。
   - 都乐全球标准化更强，但国内大客户订单通常要求整柜起订，如果门店分散，反而容易因周转时间长推高损耗。

---

### 四、一句话总结

**两家都能做到低于3%，但真正达标需要你在合同里把“损耗定义、验收标准、赔偿机制”写死，并让供应商承担冷链断链责任。** 建议先做3-4周试单验证，实际数据达标后再签长期合同。
