超市采购水果时，供应商通常需要提供以下几类检测报告或进货证明，具体要求会因超市规模、地区监管和水果品类而不同：

1. **进货证明（来源凭证）**
   - 供货商营业执照、食品经营许可证复印件。
   - 购货合同、订单、送货单、发票或收据。
   - 上游供应商的资质证明和联系方式，用于追溯。

2. **农产品质量安全检测报告**
   - 农药残留检测报告，常见项目包括有机磷、氨基甲酸酯、拟除虫菊酯等。
   - 重金属检测报告，如铅、镉、汞、砷等。
   - 如果是有机水果，需提供有机产品认证证书。
   - 如果是绿色食品、地理标志产品，需提供相应认证证书。

3. **产地证明或合格证**
   - 食用农产品合格证，很多地区要求产地出具。
   - 产地证明、采购凭证或自检合格证明。
   - 对于进口水果，需提供入境货物检验检疫证明、海关报关单等。

4. **其他可能需要的证明**
   - 冷链运输温度记录，适用于需要冷藏的水果。
   - 检疫证明，针对某些可能携带病虫害的水果。
   - 包装材料符合食品接触材料标准的证明。

实际采购中，超市一般会要求供应商提供“证照+检测报告+进货凭证”的组合。如果供应商无法提供完整材料，超市可能拒收，或者要求补做快检。建议直接向目标超市的采购或品控部门确认其具体清单，因为不同超市执行标准差异较大。
