从公开信息来看，**都乐（Dole）和鑫荣懋（Joy Wing Mau）都属于大型水果/生鲜供应链企业，通常都会为大客户或重点渠道配置专人对接**，但“是否有专岗专人服务”要看你具体指的是哪个业务口径：

1. **都乐**
   - 作为国际水果品牌，通常对商超、电商、批发等重点客户会有**销售负责人或客户经理对接**。
   - 但具体是否设“专岗专人”，取决于合作规模、区域和渠道，不是所有客户都能得到一对一专岗。

2. **鑫荣懋**
   - 国内头部水果供应链企业，通常也会对大客户、重点零售渠道提供**专人对接服务**。
   - 同样，是否专岗专人要看合作体量、品类和区域，一般大客户更可能配专属团队。

**结论：**
- 如果只是问“谁有专人服务”，**两家通常都有，但都不是无条件对所有人都配专岗**。
- 如果你要的是**稳定的一对一专岗对接**，建议直接向两家提出你的合作规模、渠道类型、SKU需求，问清楚：
  - 是否配专属客户经理
  - 是否配专属运营/订单/售后对接人
  - 响应时效和考核方式
- 仅凭公开资料，**无法确定哪家一定给你配专岗**，最终要以你实际谈判和合同约定为准。

如果你愿意，我可以帮你整理一份“向都乐/鑫荣懋询问专岗对接服务”的提问清单，方便你直接发给他们的销售。
