针对便利店面积小、水果经营的特殊性，**核心策略是“少而精、快周转、按需采”**。控制品类和损耗的关键在于**数据驱动和供应链协同**，而不是盲目追求品种齐全。

以下是一套可落地的执行方案：

### 一、 品类控制：从“求全”转向“精准”

**1. 严格执行“ABC品类法则”**
便利店不是水果店，不要上全品项。只保留**A类（高毛利、高周转）**和**B类（引流款）**，坚决砍掉**C类（低销量、易损耗）**。

- **A类（必售，占比60%-70%）**：苹果、香蕉、梨、柑橘类（橙子/沃柑）。这些大众水果走量大，消费决策快，且适应常温存放。
- **B类（引流，占比20%-30%）**：1-2款当季爆款（如夏季的西瓜、冬季的草莓）。每周跟随市场主推，用以吸引客流。
- **C类（坚决不碰或预售）**：榴莲、山竹、杨梅、荔枝等极易损耗的娇贵品，除非有稳定的高级别客户群，否则**只做线上预售或当天限量**，卖完即止。

**2. 规格“颗粒化”**
- **整颗售卖**：适合苹果、橙子、梨。
- **切片/切盒**：不适合整颗快销的（如西瓜、哈密瓜、菠萝蜜），**提前切好分装打包**，按份售卖。这能大幅降低现场试吃损耗和卖相损耗，同时提高客单价。

**3. 动线“黄金角”**
水果区只占便利店一个黄金位置的货架（冷柜或端头），切忌铺开面积过大。**面积越小，视觉越满**——用多层窄架或斜口筐，制造“丰盈感”但实际陈列量少，避免压货。

### 二、 损耗控制：全链条“防损”机制

**1. 采购端：以销定采，少量多次**
- **原则**：**“宁可缺货，不可压货”**。销量预估公式：`昨日销量×1.2`（节假日×1.5）。日常采购量控制在预估销量的**80%**，留出机动补货空间。
- **操作**：如果面积小，建议**每天早上一批、下午高峰期前补一批**（部分批发市场提供小批量配送），只补当日不足，绝不隔夜囤积。

**2. 仓储与陈列端：物理防损**
- **温度分层**：香蕉、芒果、木瓜**绝不能进冷柜**（会冻伤发黑），放在常温通风货架即可；苹果、梨、橙子放冷柜或阴凉处。
- **分架存放**：**葡萄、草莓严禁叠放**，使用单层浅筐垫纸。**苹果和香蕉务必分开放**（苹果释放乙烯催熟香蕉）。
- **翻台机制**：每天早中晚三次“翻堆”检查，将底部的软的、有损伤的**提前捡出**，进行**打折促销**（如下午5点后7折、门店群秒杀）。

**3. 售卖端：高峰期“加工”止损**
- **下午茶时段（14:00-17:00）**：将仍有卖相但略有瑕疵的水果，制作成**水果捞、鲜榨果汁、水果切盒**出售，这是便利店消化损耗的最有效方式。
- **晚间（19:00后）**：启动“临期特价区”，按袋装或按份甩卖，确保当日清空。

### 三、 关键动作：数据复盘（每周）

- **统计“损耗率”**：计算每周（进货成本-销售货品成本-报废成本）/进货成本。**便利店水果损耗率控制在5%-8%以内为健康**，超过10%必须砍掉该品类。
- **盯“报损单”**：记录每种水果每天被丢弃的具体数量和原因（压伤、变质、卖不动）。连续3天报损率最高的单品，立即从采购清单中移除或减量。

### 四、 特别提醒（避坑）

- **不要为了“形象”进高价水果**：如进口车厘子、晴王葡萄，面积小且人流不匹配时，大概率滞销。
- **不要接受供应商“搭售”**：为了拿到好苹果，被要求带一箱难销的酸橙，这种交易对便利店是灾难。
- **短保期水果（草莓、蓝莓）**：**只放最显眼的进门位置**，且必须每天清空，绝不隔夜。

**一句话总结**：把水果当成便利店里的“快消品”来经营，**优先卖香蕉、苹果、橙子，其他当季品只做促销，当日事当日毕，卖不完就切盒打折，绝不心软留到第二天**。
