为有效减少香蕉损耗，采购时建议按以下标准要求：

1. **熟度要求（重点）：**  
   - 要求产地或供应商提供**六七成熟（绿皮、果身硬挺、棱角分明）**的香蕉。  
   - 避免采购转黄、果皮出现黑点或软化的香蕉（这种已接近货架末期，易在店内短期坏掉）。  
   - 可要求供应商提供“采收后未催熟”或“低温控熟”的货源，到店后再自行催熟。

2. **到货时间要求：**  
   - 要求**到货后至少留出3-5天销售期**（常温下绿香蕉转为黄熟通常需3-5天）。  
   - 最好**每周固定2-3次少量补货**（如周一、周四到货），避免一次囤货过多。  
   - 到货时务必检查纸箱温度：香蕉应保持在**13-18℃**之间，避免过冷（冻伤)或过热（加速熟化）。

3. **补充指示：**  
   - 要求供应商按**分色标号**发货（如“1号绿果”“2号微黄”），便于快速分拣。  
   - 让供应商提供“到货后最佳储存温度”（通常13-14℃）及“自然催熟方法”。  
   - 在合同或订单备注：**不允许整箱超过5%的果有明显损伤、黑斑或软烂**。

**可执行建议：** 到货后立即拆箱检查熟度，将太熟的先上架或做特价，青果放常温库或催熟区；同时做好温度记录，每周反馈供应商调整参数。
