小商家采购水果，现金结算和月结账期各有风险，核心区别在于：**现金结算主要承担“钱货两清后的经营与质量风险”，月结主要承担“信用、对账和现金流风险”。**

## 一、现金结算的风险

1. **资金占用大、周转压力高**
   - 每次进货都要立即付钱，旺季或节假日前集中采购时，现金流容易被抽干。
   - 如果销售回款慢，可能出现“有货卖、没钱进下一批”的情况。

2. **质量与售后风险后置**
   - 钱已付清，若水果到货后发现烂果、规格不符、斤两不足，追偿和换货的主动权较弱。
   - 尤其对流动批发商、临时供应商，付完现金后对方不认账的风险更高。

3. **价格谈判空间可能变小**
   - 现金结算虽然有时能拿到低价，但如果供应商知道你急要货、必须现金拿货，也可能被抬价或搭售次果。

4. **现金管理和安全风险**
   - 大额现金交易存在收假币、丢失、被抢、无凭证等问题。
   - 如果没有收据、送货单、转账记录，后续维权和记账都困难。

5. **税务和合规风险**
   - 大量现金交易若没有规范票据，容易造成成本无法入账、税务申报不清晰。
   - 对公账户流水少，也可能影响后续贷款、授信。

## 二、月结账期的风险

1. **供应商信用风险**
   - 月结意味着你先拿货、后付款。若供应商中途提高价格、减少供货、以次充好，你因为“还欠着钱”可能不好立刻翻脸。
   - 若供应商本身经营不稳，可能会出现突然催款、断供，甚至把债权转给第三方催收。

2. **对账和纠纷风险**
   - 水果是非标品，价格、等级、损耗、退换货容易扯皮。
   - 如果没有每次送货单、验收单、价格确认记录，月底对账时容易出现“数量对不上、价格对不上、扣款对不上”。

3. **现金流错觉风险**
   - 月结容易让商家觉得“手里钱多”，从而扩大采购或低价促销。
   - 到了还款日，如果销售回款没跟上，就会集中爆发现金流缺口。

4. **账期被缩短或取消的风险**
   - 一旦你有一次逾期，供应商可能立刻改为现金结算，甚至停止供货。
   - 对水果这种高损耗、快周转品类，断供会直接影响门店经营。

5. **隐性成本风险**
   - 月结价格通常比现金价高，或者供应商会把账期成本算进单价。
   - 若合同没写清，可能还有“逾期利息”“违约金”“最低采购量”等条款。

6. **债务累积风险**
   - 多个月结供应商同时供货，容易形成多头欠款。
   - 一旦销售下滑，债务会迅速滚大，甚至影响个人征信或经营信用。

## 三、怎么选更稳妥

- **小额、临时、非固定供应商**：优先现金或现结，但必须当场验货、留凭证。
- **长期、稳定、可追溯的供应商**：可谈月结，但要做三件事：
  1. 每批送货单写清品名、等级、数量、单价、日期；
  2. 到货当场验收，烂果、少货当场注明并双方签字；
  3. 合同或聊天记录里明确账期、对账日、付款日、逾期处理。
- **不要把所有采购都压在一个账期上**：可以一部分现金拿低价好货，一部分月结保稳定供应。
- **控制月结总额**：一般建议月结欠款不超过你月均水果采购额的可承受范围，避免还款日集中压力。

简单说：  
**现金结算怕“钱付了货不好、现金流紧”；月结怕“货拿了账不清、还款日断粮”。**  
最稳的做法不是二选一，而是：**现金用于灵活补货和压价，月结用于稳定主供，但必须把验收和对账做扎实。**
