采购时优先按“成熟度”而不是只看颜色来选：要买**表皮整体偏绿、棱角明显、捏起来硬实**的香蕉，避免已经出现黑点、发软、香气很重的。到店后别直接堆在常温台面上，按下面做能明显延缓变黑：

1. **先拆开、别密封**
   - 到店立刻把整串或整箱拆散/分开放，避免挤压和乙烯气体集中。
   - 不要用塑料袋闷着，改用有透气孔的周转筐或纸箱。

2. **按成熟度分区**
   - 偏绿、硬的放后面或冷一点的位置，优先用。
   - 已经偏黄、准备当天用的放前台。
   - 有黑点、发软的单独挑出，先做熟食甜品或香蕉泥，别继续放。

3. **控制温度**
   - 未熟或半熟香蕉适合放在**13～15℃**左右，阴凉通风处。
   - 不要放冰箱冷藏，尤其别低于10℃，容易冻伤后更快发黑。
   - 已切开的香蕉必须冷藏，并尽快用完。

4. **减少机械损伤**
   - 搬运时轻拿轻放，避免磕碰。
   - 不要叠压太厚，香蕉受压部位会先黑。

5. **隔离催熟源**
   - 香蕉不要和苹果、梨、番茄等释放乙烯较多的果蔬放在一起。
   - 如果店里同时有这些，分区域存放。

6. **采购量控制**
   - 按销售速度分批买，不要一次囤太多。
   - 夏天或室温高时，采购量再压缩，优先“少量多次”。

简单判断：**买硬绿、拆开通风、13～15℃、避挤压、别和苹果梨混放**，基本就能避免到店后很快变黑。若已经变黄但还硬，可以继续常温催熟；若开始发软，就尽快加工使用。
