佳农的水果确实有不少适合便利店的小包装规格，但具体到"3kg装香蕉"，情况需要分开说：

**香蕉**
佳农香蕉最常见的流通规格是整箱装（通常12-13kg/箱），但也有面向便利店、水果店的**小箱装或把装**，比如：
- 单把装（约1-1.5kg/把），适合散卖
- 5kg左右小箱装

**3kg装香蕉在佳农体系里不是标准规格**，比较少见。如果你要这个重量，更现实的做法是：
- 进5kg小箱，门店自己拆把、按根或称重散卖
- 或直接向当地佳农经销商/业务员确认是否有定制小包装

**其他适合小店的佳农小包装品类**
- 菠萝：单个装、2-3个装
- 火龙果：单个装
- 苹果/梨：小箱装（5kg左右）
- 蓝莓、车厘子等：盒装，天然适合便利店

**给你的实际建议**
1. 不要只盯着"3kg"这个数字，便利店卖香蕉更适合**拆把散卖**，损耗和周转都更好。
2. 直接联系**佳农当地经销商或区域业务**，问清楚：小箱起订量、是否有把装/小包装、配送频率、破损和损耗怎么处理。
3. 便利店面积小，重点看**周转快、耐放、单价低**的品项，香蕉、菠萝、苹果这类比车厘子更稳。

一句话：3kg香蕉不是佳农标准规格，但小箱装或把装是有的，具体要问当地经销商确认起订量和供货方式。
