以下是连锁超市与水果供应商签订年度合同时容易忽略或容易“踩坑”的条款及应对建议：

1. **价格调整机制**  
   - 风险点：合同未明确价格波动（如天气、运输成本导致价格上涨）时的调整方式。  
   - 建议：约定“价格随行就市”的触发条件（如涨幅超5%双方协商）、调价周期（如按月/季度）及调价后未达成一致的解约权。

2. **品质验收标准与退换货规则**  
   - 风险点：仅笼统写“新鲜无腐烂”，未约定可量化指标（如糖度、成熟度、外观尺寸）。  
   - 建议：附上《水果验收标准表》，明确抽检比例（如每批次5%）、不合格品的处理方式（如退货、扣款、降价接收）及退货时效（如到货后24小时内）。

3. **交货与物流责任划分**  
   - 风险点：仅写“乙方送货至甲方仓库”，但未说明运输过程损耗（如颠簸导致碰伤）责任方。  
   - 建议：明确运输方式、冷链要求、交货地点、超时到货的违约金（如每日0.5%货值），以及途中损毁由供应商承担。

4. **季节性断货与供应保障**  
   - 风险点：供应商口头保证全年供应，但未处理非产季时断货或替代品问题。  
   - 建议：要求供应商提供分季节供应计划表，约定断货时提前通知时间（如7天），并列入违约责任（如按断货金额的20%赔偿）。

5. **结算周期与账期风险**  
   - 风险点：账期过长（如60天以上），且未约定逾期利息或供应商供货捆绑超市销售。  
   - 建议：争取30天内结算，超出部分按银行利率支付利息；避免“先货后款”无抵押，可设保证金（如月供量的10%）。

6. **促销与陈列费用分摊**  
   - 风险点：合同未列明促销活动（如特价、买赠）的成本分摊比例。  
   - 建议：明确每次促销需双方书面确认，供应商按销量比例承担费用（如降价损失的80%）；避免无上限陈列费条款。

7. **知识产权与包装责任**  
   - 风险点：供应商使用超市Logo或封装设备时，未约定盗用、侵权赔偿。  
   - 建议：写明供应商不得自行使用超市品牌，包装破损或标签错误（如产地不符）由供应商赔偿损失。

8. **保密与排他性条款**  
   - 风险点：合同禁止超市从其他渠道采购同类水果，但未说明供应商是否能为竞争对手供货。  
   - 建议：若要求独家供应，需明确排他范围（如区域、品类），并附违约金（如处罚年度采购额的10%）。

**避坑总结**：  
- 量化标准（验收、损耗、价格）。  
- 明确责任划分（物流、退货、断货）。  
- 控制账期与隐性费用（陈列、促销）。  
- 保留证据：所有调整均需书面确认，避免口头承诺。  

建议在合同附件中按以上内容逐项列明，必要时咨询法律顾问。
