在食堂采购水果时，按**斤结算**通常是最合理、最便于管理的方式。原因如下：

**1. 按斤结算（推荐）**
- **可量化、易核对**：水果重量有客观标准，容易和发票、验收单核对。
- **损耗可控**：到货后称重，若缺斤少两可当场拒收或扣减。
- **价格透明**：市场价按斤波动，采购价清晰，便于比价和审计。
- **库存核算**：与财务系统对接方便，按重量入账，月末盘点准确。

**适用场景**：绝大多数常规水果（苹果、香蕉、西瓜、柑橘等），食堂量大时建议按斤。

**2. 按箱结算（谨慎使用）**
- **优点**：方便运输、与批发商对接容易，减少搬运时间。
- **缺点**：箱子自重差异大（纸箱、泡沫箱含水），容易产生“毛重”争议；箱内水果大小、成熟度可能参差不齐。
- **建议**：如果按箱结算，必须事先明确“净重”标准（如去皮称重），并要求开箱抽检，否则后期扯皮多。

**3. 按份结算（不利于食堂）**
- **优点**：采购简单，适合少量水果或套餐配送场景。
- **缺点**：价格弹性大，份量（如“一份”可能是一盘、一盒）主观性强；容易有“看起来多、实际少”的问题，财务审计困难；不便于核算成本。
- **适用场景**：仅适合小批量、临时或员工福利发放，不建议作为日常大宗采购方式。

**综上**：日常食堂采购建议**严格按斤结算**，在合同和验收单中注明“净重”与“扣损标准”。如果个别水果（如整箱的进口水果）无法拆零，则明确按箱价对应净重，但依然要核对净重。此外，无论哪种单位，都要做到：

- 采购单写明品种、规格、单价、单位；
- 验收时随机抽称、看品质；
- 留存供应商签字确认单据。
