判断批发档口能不能给你稳定供香蕉，核心不是听他怎么说，而是看他在**产地、加工、物流、资金**四个环节的真实能力。下面给你一套可直接执行的判断方法。

## 一、先看他的“货从哪来”

稳定供货的前提是他自己或深度绑定了产地。

- **问产地**：具体到县/镇/基地，比如“广西南宁西乡塘”“云南河口”“老挝/缅甸关口”。只报“南方”“进口”这种模糊说法的，基本是二手贩子。
- **问季节性**：香蕉有淡旺季和台风、寒害风险。能说清“几月主供哪里、淡季怎么补”的，才靠谱。
- **看基地照片/视频**：要求现场拍，不要图库。能实时拍蕉园、装车、催熟库的最可信。

## 二、看加工和催熟能力

香蕉是后熟水果，稳定供货很依赖催熟库和加工厂。

- 有没有自己的**催熟库**？库容多少、几间房？
- 能不能按你要的**熟度**（青蕉、3成黄、5成黄）稳定出货？
- 加工环节：洗蕉、分级、去轴、装箱是否规范。
- 如果他说“从别人库拿货”，那他的稳定性就取决于别人，风险高。

## 三、看物流和到货能力

- **运输方式**：冷链车还是普通车？香蕉怕闷怕冻，长途必须控温。
- **发货频率**：问“一周能发几车、每天几点发”。稳定的通常有固定班次。
- **到货损耗**：让他承诺到货标准，比如“黑星、机械伤不超过X%”，敢写进单子的更可信。
- **看历史单据**：让他出示近1-2个月的**发货单、运输单、过磅单**，能连号、日期连续的说明真在持续发。

## 四、用“小单试供”验证，别一次性压大

这是最有效的判断方式：

1. **先下小单**：比如1-2车或几千斤，观察发货速度、品质、包装。
2. **连续试2-3次**：看是否每次都准时、品质一致。稳定供货看的是“每次都行”，不是“某次很好”。
3. **压款或账期试探**：愿意给合理账期、或接受少量押金的，通常有实力；一口价必须全款且催得急的，多留个心眼。
4. **看售后**：出现问题是否认账、补货或赔付。推诿的直接淘汰。

## 五、几个快速排雷信号

- 价格明显低于市场太多——大概率是期货、拼单或骗定金。
- 只有微信、没有固定档口/公司/仓库地址。
- 不肯视频看库、不肯给历史单据。
- 催你打大额定金、说“马上涨价”。
- 一问产地、催熟、物流就含糊其辞。

## 六、建议的谈判清单

谈的时候直接问这几条，让他书面确认：

1. 主供产地和淡季补货来源；
2. 自有催熟库库容、日加工量；
3. 发货频率和运输方式；
4. 到货品质标准和损耗赔付；
5. 结算方式（现结/账期/定金比例）；
6. 连续供货的最长记录，能否提供单据。

**一句话总结**：能说清产地、有自己的催熟库、有连续发货单据、敢让你小单试供并承诺损耗的，才是相对稳定的货源。其余都要靠小单反复验证，别靠一次见面就定长期合作。
