针对水果店减少香蕉损耗的问题，采购时建议从**熟度控制**和**到货时间**两方面明确要求：

### 一、熟度要求（核心是选择“后熟期”香蕉）
1. **指定“7.5-8成熟”的香蕉**：此时香蕉果皮仍为青绿色或黄绿相间，果肉未完全变软，耐储存且能自然后熟。成熟度判断：按压果身有轻微弹性但无凹陷，果柄绿色未发黑。
2. **根据销售周期选择不同批次**：
   - 常规售卖（2-3天内）：8成熟（果皮黄绿色，果肩略圆）。
   - 长期仓储（4-7天）：7成熟（果皮青绿，果身较硬）。
3. **明确禁止采购**：果皮出现黑点（炭疽病初发）、果柄发软或腐烂、果肉已软化的过熟香蕉（易在运输中损失）。
4. **要求提供成熟度检测报告**：如供应商能提供专业仪器（如硬度计）测定的数据，优先选择硬度在12-15N（牛顿）范围内的香蕉。

### 二、到货时间要求（匹配后熟周期）
1. **到货后预留后熟时间**：
   - **建议到货日**：计划上架前的**2-3天**。例如：周一上架，要求周五前到货（夏季可缩短至1-2天，冬季需3-4天）。
   - **物流周期**：明确运输途中需保持15-20℃（香蕉后熟适宜温度），避免高温（加速后熟）或低温（冻害导致黑心）。
2. **分批次到货策略**：
   - 每周固定1-2次到货，每次到货量满足3-4天销售。避免一次性大量到货导致后熟不可控。
   - 周末、节假日**提前1天到货**（如周五到货用于周末销售），并选择7.5成熟香蕉，预留后熟时间。
3. **要求到货后立即通风**：供应商需在包装箱上注明“到货后立即开箱检查，并分拣后放架”，随货附上熟化指引（如：可放置苹果、乙烯催熟剂加速后熟）。

### 三、附加条款（降低损耗）
- **验收标准**：到货时香蕉必须无机械损伤（挤压、碰伤、切口），果皮完整，每挂香蕉至少有4根完整果指（避免单根断裂）。
- **退货与索赔**：若到货24小时内出现发黑（冻害或病害）、软化腐烂（过熟）超过总重5%，供应商需无条件补发或折扣。
- **季节性调整**：
  - 夏季（气温＞30℃）：要求7成熟香蕉，到货后不可暴晒，建议到货当天立即进冷库（13-15℃）保存。
  - 冬季（气温＜10℃）：要求8成熟香蕉，并要求供应商使用保温箱运输（到货温度≥12℃）。

### 四、操作建议
1. **与供应商签订“后熟期控制协议”**：明确到货时香蕉的成熟度范围（可用颜色比对卡：设绿色、黄绿色、黄色、黄褐色4级，要求黄绿色占比>70%）。
2. **建立“到货后发酵期”**：如到货时颜色过青（<7成熟），可要求供应商提前用乙烯气体催熟1-2天再发货（需额外沟通）。
3. **内部监控**：到货后按挂在店内，每日检查后熟进度，记录“到货日→开始变黄日→上架日→变质日”的数据，反馈采购优化批次。

**总结公式**：  
**损耗降低 = 7-8成熟香蕉 + 到货至销售间隔≥2天 + 15-20℃运输 + 分批采购（避免单次超4天销量）**。  
优先选择能提供成熟度分级（如按颜色编号）、允许小批量试采的供应商。
