为茶饮店采购香蕉控制熟度，建议按以下步骤操作：

1. **明确用途与所需熟度**：
   - **饮品（如香蕉奶昔、冰沙、拿铁）**：需要**完全成熟**的香蕉（表皮金黄或出现少量黑点，轻轻按压有弹性，果肉软糯香甜）。完全成熟的香蕉甜度高、易搅打，口感顺滑。
   - **甜品（如香蕉松饼、焦糖香蕉、布丁）**：根据成品要求选择：
     - 外型完整或切片装饰：**7-8成熟**（表皮黄中带青，按压较硬，果肉紧实）。不易破损，切片后形状好看。
     - 需要泥状或烘焙后融入：可用**完全成熟**甚至“过熟”的香蕉（表皮全黑但果肉未腐烂，极甜）。这种适合做香蕉酱、烤香蕉或混合面糊。

2. **分阶段采购策略**：
   - **批量库存管理**：如果用量大，建议同时采购“生熟两批”：
     - 一批**7成熟**（青皮或黄绿相间，稍硬），可存放1-3天，随着时间自然软熟。
     - 一批**8-9成熟**（金黄微点），当天或次日使用。用完后再从7成熟批次中取出需要的量。
   - **避免一次性全青或全熟**：全青无法及时催熟，全熟易在到货后48小时内变黑腐烂。

3. **催熟与延缓熟度技巧**：
   - **催熟**：将青香蕉放入纸袋（或与一个苹果、牛油果同放），室温（20-25℃）下1-2天可达到5-7成熟。想要更均匀，可每天翻动。
   - **抑制熟度**：如果到货后偏熟，立即冷藏（注意：冷藏会使香蕉皮变黑，但果肉熟度会大幅减缓）。注意：完全未熟的香蕉不要冷藏，否则“冷害”导致无法正常成熟。

4. **验收标准**：
   - 要求供应商每日/隔日送达**不同熟度批次**，并在订单备注“分箱标注熟度”。
   - 到货时逐箱检查：表皮应无大面积黑斑、霉斑、软烂、出水或酒精味（发酵过度）。按压时20%以下表面有轻微软塌可接受，超过50%软则拒收。

5. **存储与使用优先级**：
   - 设立“先用后存”标识：将熟度高的香蕉放在最外层（或颜色标记），优先用于当日饮品或甜品。
   - 每天早班检查：挑出完全熟透的当天用，稍青的放置催熟区。

最终建议：**以“到货后3天内能全部用完”为目标控制库存**，根据销量先小批量订，熟练后建立“5-7天周期”的浮动采购模型。
