需要，而且这两项通常应作为筛选供应商的硬性条件。

**1. 开发票：必须支持**
- 企业采购用于福利发放，财务一般要求取得合规发票才能入账、税前扣除。
- 优先选择能开**增值税专用发票**或**增值税普通发票**的供应商，具体看贵司财务要求。
- 确认发票类目能开到“水果”“食品”或“农副产品”等合规品名，避免后期报销或审计卡壳。
- 采购前先和财务确认：发票类型、税率、开票时间、是否随货或后续补开。

**2. 定制包装：建议要求支持**
- 企业福利通常需要体现公司标识或节日主题，如印LOGO、祝福语、贺卡、统一礼盒外观。
- 定制包装能提升福利感知，也便于按部门/人员分装发放。
- 要提前确认：起订量、定制费用、打样时间、生产周期、是否影响发货时效。
- 如果预算有限，可退一步选择“贴标+贺卡”这种轻定制方案。

**判断建议：**
- 如果只是小批量、内部简单发放，可接受不能定制，但**发票必须能开**。
- 如果是较大批量、对外展示或节日福利，建议把“可开发票+可定制包装”同时写进采购要求，并要求供应商提供样品和开票样例确认。

**采购前必问清单：**
1. 能否开票？开什么票？税率多少？
2. 能否定制包装？起订量多少？加价多少？
3. 打样和交付周期多久？
4. 水果损耗、坏果、售后怎么处理？
5. 是否支持分地址、分批次配送？

简单说：**发票是底线，定制包装是加分项，企业采购最好两者都要求。**
