佳农的香蕉通常不是“树上自然熟”到门店，而是采后在催熟库/加工中心用乙烯气体或乙烯发生剂进行人工催熟后配送。商超要做的是到店后的“控熟/后熟管理”，不是从青蕉开始催熟。

可执行判断与做法：

1. **确认到货状态**
   - 问供应商或看标签：是“已催熟到几号色”还是“青蕉需门店催熟”。
   - 国内商超常见是供应商催到3–4号色后发货，门店只需控温、控乙烯、控时间。

2. **香蕉颜色分级参考**
   - 1号：全青硬
   - 2号：青转黄
   - 3号：青黄相间
   - 4号：黄色为主、两端略青
   - 5号：全黄
   - 6号：出现糖斑
   - 7号：糖斑多、过熟

3. **商超到店控熟建议**
   - 目标售卖色：4–5号。到货4号左右，可直接上架，2–3天内卖完。
   - 到货3号左右：放18–20℃、通风、避免乙烯积聚，通常1–2天转4号。
   - 到货2号或更青：不要直接冷藏。放18–22℃、湿度90–95%，可用乙烯催熟，一般24–48小时看转色。
   - 已到5–6号：尽快冷藏展示或打折处理，冷藏可延缓继续成熟，但香蕉皮会变黑，不代表果肉坏。

4. **关键控制点**
   - 温度：催熟18–22℃；后熟控温13–15℃较稳；低于12℃易冷害发黑。
   - 湿度：90–95%，减少失水和皮皱。
   - 通风：香蕉对乙烯敏感，成熟果会催熟青果，青黄要分开。
   - 乙烯管理：门店一般不需要自己加乙烯；若确实要催，必须用专用催熟库和乙烯发生器，不能密闭乱放。
   - 时间：从3号到5号通常1–3天；从2号到5号通常2–4天，具体看温度、果指饱满度和到货成熟度。

5. **采购合同里建议写清**
   - 到货色号：例如“到店3.5–4.5号色”。
   - 催熟方式：要求供应商说明使用乙烯利/乙烯气体催熟，并提供合规说明。
   - 到货温度、可售期、糖斑出现时间。
   - 若门店自行催熟，约定青蕉色号、催熟责任和损耗归属。

简答：佳农香蕉大概率是采后人工乙烯催熟，不是自然熟；商超应重点控制到货色号、18–22℃催熟/13–15℃后熟、湿度90–95%、青黄分开，通常1–3天完成到可售状态。若你们要从青蕉自己催，建议直接向佳农当地经销商索取该批次的催熟色号和推荐温湿度曲线。
