选择水果供应商时，除了价格和新鲜度，以下细节常被忽视但对长期稳定至关重要：

1. **分拣与包装标准**  
   - 确认供应商是否有明确的分级标准（如大小、成熟度、瑕疵率），避免批次差异大。  
   - 包装是否防碰撞、透气（如泡沫网套、气柱袋），减少运输损耗。

2. **冷链物流能力**  
   - 是否全程冷链（采摘后预冷、冷藏车配送、仓储温控），尤其对草莓、蓝莓等易腐水果。  
   - 运输时间承诺（如“24小时从产地到门店”）是否属实，可要求实时物流跟踪。

3. **应急处理机制**  
   - 坏果赔付政策（如按比例补货或退款），需明确“坏果定义”和赔付时效。  
   - 突发缺货时是否有替代方案（如跨产区调配或同品类替换建议）。

4. **季节性波动管理**  
   - 供应商是否会提前告知因天气、节日导致的产量变化，并配合调整采购计划。  
   - 可否提供旺季锁价服务，避免临时涨价（如中秋前芒果价格飙升）。

5. **合规资质与溯源**  
   - 检查供应商的《食品经营许可证》、产地检疫证明（尤其进口水果）。  
   - 是否支持扫码追溯果园信息（如施用农药记录、采摘日期）。

6. **试单与淘汰周期**  
   - 主动要求小批量试单（如100斤），测试到货损耗率和顾客反馈。  
   - 约定每月/季评估淘汰机制（例如连续2次到货损耗超5%则自动终止合作）。

建议：优先选择能提供“产地直发+城市分仓”的供应商，并定期（如每季度）到其分拣中心或仓库实地检查流程。
