超市采购水果时，供应商通常需要提供以下几类检测报告或进货证明，具体取决于超市的验收要求、水果品类和当地监管规定：

1. **营业执照和食品经营许可证**
   - 证明供应商具备合法经营资质。
   - 如果是进口水果，还需提供进出口相关资质证明。

2. **产地证明或供货证明**
   - 证明水果来源合法、产地明确。
   - 常见形式包括产地证明、购销合同、发货单、进货台账等。

3. **农产品质量安全检测报告**
   - 一般包括农药残留检测报告。
   - 可由供应商自检、第三方检测机构出具，或产地监管部门出具。
   - 超市通常要求报告在有效期内，并覆盖对应批次或品种。

4. **检验检疫证明**
   - 进口水果必须提供入境货物检验检疫证明。
   - 部分国产水果如涉及跨区域调运，也可能需要植物检疫证书。

5. **合格证或质量承诺书**
   - 供应商对产品质量作出承诺。
   - 有些超市会要求每批次提供合格证或质量安全承诺达标合格证。

6. **进货票据和台账**
   - 发票、送货单、销售单等，用于追溯。
   - 超市自身也需要建立进货查验记录，保存相关凭证。

7. **特定水果的额外证明**
   - 如有机水果需有机认证证书。
   - 绿色食品、地理标志产品等需相应认证证明。
   - 若水果经过保鲜、打蜡、催熟等处理，可能还需说明所用物质符合规定。

实际操作中，超市一般会要求供应商提供“证照+批次检测报告+进货票据”这一组合。对于高风险或重点监管品种，还会加大检测报告和检疫证明的查验力度。
