为确保茶饮店的食品安全，选择水果供应商时需严格审核其资质与合规性。供应商应提供以下证明文件，建议逐一核查原件或加盖公章的复印件：

1. **营业执照**：确认供应商为合法注册的食品经营主体，经营范围含水果销售。
2. **食品经营许可证**（若供应商涉及分装或预包装水果，需含相关品类）。
3. **产地证明或食用农产品合格证**：证明水果来源合法，非不明渠道产品。
4. **批次检验报告或检测报告**：按批次提供，重点检测项目包括：
   - 农药残留（如有机磷类、拟除虫菊酯类）
   - 重金属（如铅、镉、汞）
   - 微生物（如沙门氏菌、大肠杆菌）
   - 水果特定风险项（如草莓的诺如病毒、芒果的致病菌等）
5. **供货方（上游）资质**：若供应商非产地直供，需提供其上游批发商或种植基地的相关证明。
6. **运输与储存记录**：证明水果在冷链条件下运输（需温度监控记录），避免变质。
7. **产品追溯信息**：如二维码、批次号等可实现溯源，便于问题产品召回。
8. **其他补充材料**：
   - 绿色食品、有机食品认证（如有可提高安全评级）
   - 疫情防控证明（如进口水果需报关单、检疫证明及新冠病毒检测报告）

**执行建议**：
- 建立供应商档案，定期（如每季度）更新资质。
- 到货后抽检水果外观、气味及随机采样送检，与供应商合作为长期合作基础。
- 对进口水果，加验《入境货物检验检疫证明》及海关申报文件。

若无特定地方规定，以上为行业基础标准。如有特殊要求（如无公害、有机），需补充相关认证。建议与供应商签订合同时明确资质提供义务及违约条款。
