佳农水果的香蕉主要有以下几种规格，具体分级标准如下：

1. **规格分类**：
   - **小果**：单根香蕉重量约100-130克，长度约15-18厘米。
   - **中果**：单根重量约130-160克，长度约18-22厘米。
   - **大果**：单根重量约160-200克，长度约22-25厘米。
   - **超大果**：单根重量超过200克，长度超25厘米。

2. **适合不同渠道的分级标准**：
   - **商超/高端渠道**（如精品超市、连锁水果店）：主要选用**大果**或**超大果**，要求果型均匀、无斑点、成熟度一致（七至八成黄），包装精致，常为带品牌贴标的标准化包装。
   - **批发/传统零售市场**（如农贸市场、社区生鲜店）：常用**中果**，性价比高，允许轻微瑕疵，多采用散装或简易托盘包装，成熟度适中（六至七成黄），便于快速分销。
   - **电商/线上平台**：以**小果**或**中果**为主，包装需防撞，常见多根捆绑或独立套袋，成熟度控制在五至六成黄（耐运输），配合“24小时催熟”等卖点。
   - **餐饮/加工渠道**（如奶茶店、烘焙坊）：采购**小果**或次果（外形不规整但无腐坏），价格更低，常用于切片、捣泥等深加工。

注：具体分级可能因产地（如菲律宾、厄瓜多尔等）和季节略有调整，建议参照产品标签或向佳农客服确认。
