采购香蕉做蛋糕时，**成熟度比价格优先得多**。价格可以谈判，但香蕉的成熟度直接决定蛋糕的口感和出品稳定性，返工成本和浪费损失往往比省下的采购差价更大。

具体建议如下：

1. **成熟度判断（核心标准）**
   - **最佳状态**：表皮出现少量褐色斑点（“芝麻点”或“豹纹斑”），手感微软但按压不塌陷，散发浓郁香气。此时糖分最高、果肉软糯，最适合做香蕉蛋糕，无需额外加糖过多。
   - **太生**（皮绿、硬）：淀粉未转化为糖，蛋糕发干、无香蕉味，且烤后易出水。
   - **过熟**（皮全黑、流出液体）：发酵味重，果肉可能腐烂，影响卫生和风味。
   - **采购建议**：如果蛋糕当天或次日制作，直接买“微斑熟透”的；如果隔几天才做，可买“稍青但略带香气”的，放在室温自然熟成（不要冷藏，会抑制熟化）。

2. **价格考量（次要但讲策略）**
   - 熟透香蕉往往有“尾货”优惠（超市或批发市场傍晚时段），价格可低30%-50%，只要没有发霉、腐烂、虫蛀，完全可以利用。
   - 不建议仅为省钱买大量生蕉囤积，因为成熟度难以统一，导致批次风味不一致。

3. **供应链小贴士**
   - 与供应商建立**“按熟度等级供货”**而非单纯按箱买，并要求可退换“过熟或碰伤”产品。
   - 计算**总成本**：如果因为不熟导致回炉或加糖补充，反而更贵。

最后提醒：如果需长期使用，可以要求供应商每次提供“微斑期”的香蕉，并签订品质条款。**先保成熟度，再谈价格**，这是烘焙采购的底线逻辑。
