采购香蕉时控制熟度的关键在于明确用途，并据此选择对应的成熟度阶段。以下是具体建议：

1. **按用途选熟度**：
   - **做冰沙、奶昔或泥状甜品**：选择**完全成熟**的香蕉（表皮有黑色斑点或完全变黄，稍软）。这类香蕉甜度高、易打碎，无需额外加糖。
   - **做切片装饰、冰淇淋配餐或烤制甜品**：选择**中熟偏硬**的香蕉（表皮全黄但无黑斑，按压有弹性）。切片能保持形状，烤后不易过分软烂。
   - **做蛋糕烘焙（如香蕉蛋糕）**：选择**过熟香蕉**（表皮大面积褐黑、果肉软糯）。这类香蕉甜味和香气最浓，能自然增湿。

2. **采购验收标准**：
   - 要求供应商根据你的用途指定成熟度批次。例如，当日做果昔可要全熟；次日用可选中熟，自己放置1-2天再使用。
   - 检查表皮：无严重机械损伤、霉变或出水。少量黑斑可接受，但大面积暗黑且软塌的需拒收（可能发酵过重）。
   - 手感：按压香蕉中部（非两端），应均匀有弹性。若过软（指印不回弹）或过硬（青涩）均不符合标准。

3. **分批采购策略**：
   - 按“阶梯成熟度”进货，比如一次采购全熟、中熟各一半，视销量先出全熟，中熟自然成熟后衔接使用。
   - 每日检查库存，将过熟的优先用于需要泥状的品类，刚到店的中熟留给甜品装饰。

4. **储存与催熟技巧**：
   - 未熟（青黄）香蕉：室温（20-25℃）放纸袋中，避免冷藏，可加速自然成熟。
   - 已达预期熟度的香蕉：立即放入冰箱冷藏（4-8℃），表皮会变黑但内部质地和甜度可稳定保持2-3天。
   - 避免与苹果、番茄等释放乙烯的水果同放，以免过度成熟。

5. **每日用量预估**：
   - 根据前一周销量计算日均用量，采购时多加10%-15%的缓冲量，并优先消耗熟度最高的批次。

最后，与供应商提前沟通你的熟度分级标准（可拍照记录不同阶段作为参考），要求按此标准稳定供货。开业初期可少量多次试采，记录不同熟度在出品中的表现，形成自己的采购标准表。
