水果店卖菠萝，采购时不要只盯“熟不熟”，而要看**预计几天卖完、怎么卖**。最稳妥的原则是：**采购时以7～8成熟为主，少量搭配9成熟做即时促销；不要大量进全熟果。**

判断菠萝熟度和采购建议可以按下面看：

1. **看果皮颜色**
   - 青绿、果眼紧闭：偏生，适合放几天再卖，但甜度可能不足。
   - 黄绿相间、果眼开始变平：约7～8成熟，比较适合水果店常规采购。
   - 大面积金黄、果眼明显平展：约9成熟以上，香味浓、好吃，但损耗快，最好当天或次日卖完。
   - 果皮发暗、发褐、渗汁：过熟或开始坏，不建议采购。

2. **闻气味**
   - 几乎无味：偏生，可放。
   - 有明显菠萝甜香但不冲：适合短期销售。
   - 香味很浓、带酒味或酸馊味：过熟或内部开始发酵，损耗风险高。

3. **捏硬度**
   - 硬邦邦：偏生。
   - 稍用力能轻微按动，果体有弹性：成熟度较好。
   - 一按就软、局部塌陷：过熟或碰伤，别多进。
   - 基部发软、发湿：容易从底部烂，慎采。

4. **看果眼和芽眼**
   - 果眼尖、密、深：通常偏生。
   - 果眼变平、间距显得开：成熟度上升。
   - 果眼周围发黑、流汁：病害或过熟。

5. **看叶片和果柄**
   - 冠芽青绿、挺立：较新鲜。
   - 冠芽发黄、干枯、易拔：存放久或成熟度高。
   - 果柄切口新鲜、无霉点：更好。
   - 果柄发黑、长毛：不要进。

6. **按销售方式定采购熟度**
   - **整果卖**：可以进7～8成熟，店内后熟1～3天，减少即时损耗。
   - **现削现卖/切块卖**：可适当进8～9成熟，口感好、出成率高，但必须快进快出。
   - **做促销/果汁**：可用9成熟，但当天消化，不适合囤。
   - **外卖切果**：建议8成熟左右，太生酸，太熟切后易出水、发酸。

7. **采购比例建议**
   - 如果你一般2～3天卖完：70%进7～8成熟，30%进8～9成熟。
   - 如果当天就能卖完：可以提高到50%～60%的8～9成熟。
   - 如果天气热、销量不稳：降低高熟果比例，宁可偏生一点，到店再催熟。
   - 如果做切块：可略熟，但必须配合冷藏和当天清货。

8. **到店后怎么减少损耗**
   - 生果放常温通风处后熟，不要堆太厚，避免压伤。
   - 熟果及时冷藏或优先削卖。
   - 每天翻检，先卖颜色黄、香味足的，后卖青绿果。
   - 有局部软、酒味的立刻隔离，别和好果混放。
   - 切开的菠萝必须冷藏，尽量当天卖完。

简单记：**采购时选黄绿相间、有香味但不冲、果体稍弹不软塌、果柄新鲜无霉的菠萝。整果卖偏生一点，切果卖偏熟一点，高熟果少量快销。**
