针对超市水果区提高客单价的促销组合，建议如下：

### 核心思路
通过“高利润+高复购+高单价”的组合，引导顾客一次购买多类商品，从而提升客单价。

### 推荐组合：香蕉 + 菠萝 + 苹果

1. **香蕉**（引流爆品，低单价，高转化）
   - 作用：吸引顾客进店或停留，价格亲民，几乎人人购买。
   - 策略：保持低价或微亏，但限制每人购买数量（如每位顾客限购2斤），防止囤货。

2. **菠萝**（高利润，季节性商品，视觉冲击）
   - 作用：单价较高，利润率高，成熟季节易吸引眼球。
   - 策略：现场展示削皮服务，增加“现买现吃”的体验感，诱导顾客连带购买。

3. **苹果**（硬通货，高客单价，耐储存）
   - 作用：苹果单价高、品种多（如红富士、嘎啦），是提升整体客单价的主力。
   - 策略：搭配香蕉的低价和菠萝的吸引力，主推中高端品种（如阿克苏、花牛），以“健康家宴”等主题包装。

### 具体执行方案

- **组合定价**：设计“水果套餐”买满20元减2元、满30元减5元（或送一个菠萝/苹果），鼓励顾客多买。
- **陈列方式**：将香蕉放在最显眼位置引流，菠萝放在中岛切开展示，苹果在旁边设置试吃台和大小礼盒。
- **话术引导**：导购员主动推荐：“今天买香蕉，菠萝现切特价，加苹果凑满30元立减5元。”
- **限时促销**：每周固定1-2天（如周末）推出组合，配合广播和海报，营造紧迫感。

### 注意事项
- 确保香蕉新鲜，避免过多囤积损耗。
- 菠萝削皮后要快速处理，防止氧化变黑。
- 苹果可提供散装和礼盒装，满足不同需求。

这样既利用了香蕉的引流能力，又通过菠萝和苹果拉高整体毛利和客单价。
