**佳农（Goodfarmer）香蕉的催熟工艺是**乙烯催熟**（商业催熟），并非自然熟（树上熟）。**

香蕉是典型的**呼吸跃变型**水果，树上自然成熟口感差且不耐储运，因此商超销售的佳农香蕉均为**青果采收后，在催熟库中使用乙烯气体催熟**。

**商超控制催熟时间的核心操作建议：**

1.  **使用乙烯气体浓度**：标准催熟浓度通常为 **100-150 ppm**（百万分之一）。
2.  **催熟库温度**：催熟阶段温度控制在 **18-22℃**（过高易软化过快，过低催熟无效）。通常保持 **20℃** 为最佳。
3.  **催熟时长（关键参考）**：
    *   **快速催熟（3-4天）**：适合急货销售，但风味稍欠。
    *   **标准催熟（5-7天）**：品质最佳，甜度和香气均衡，建议使用此标准。
    *   **慢速催熟（8-10天）**：适合大批量分批次出库。
4.  **催熟剂用量**：每一立方米空间按 **1-2克乙烯利**（液体）或等量乙烯气体比例投放。
5.  **出库判断标准**：当果皮颜色达到 **黄绿相间（4-5级色卡）** 时，应立即停止催熟并移入 **13-15℃** 的冷库储存，避免过熟。

**特别提醒（商超控时关键）：**
*   **不同批次必须分库催熟**，不要混放，因为果实成熟响应时间差异大。
*   催熟过程中必须**每12小时排风15分钟**，防止CO₂浓度过高抑制成熟。
*   若进库时香蕉果皮已有轻微软化，应立即缩短催熟时间1-2天。

**简单总结**：佳农香蕉是乙烯催熟，您的商超如需控制出库时间，建议直接采用**标准催熟流程（20℃恒温+5天）**，并每日抽检硬度。此方法可精确掌控销售节奏。
