针对便利店的消费场景，**首选“小把装（2-3根）”**，其次是“单根装”，最后才是“整袋装”。具体建议如下：

1. **核心逻辑：主推“即时消费”**  
   便利店顾客多为即买即走，更看重“好拿、好结账、不浪费”。小把装（2-3根）既满足解馋，又避免买多放坏；单根装适合早餐或临时补能；整袋装（5斤以上）在便利店基本没有场景，除非在社区店做特价引流。

2. **陈列与损耗策略**  
   - 将**小把装放在收银台附近**（醒目标签：“今日鲜到”），单价略高，毛利率可达40%以上。  
   - 单根装可放在冷柜旁或零食架，用透明袋或托盘展示，适合单人购买。  
   - 整袋装很少人买，若不敢砍掉，可改为**预包装好的“家庭分享装”**（如5-6根），放在生鲜区，但一定要贴临期处理标签，避免损耗。

3. **操作细节**  
   - **别买生/熟度不一致的**：选择颜色均匀、无碰撞斑的，避免“看着好看但没熟透”。  
   - 因香蕉易压坏，**每根之间用软纸隔开**，或用塑料盒封装，可减少废弃。  
   - 建议搭配“香蕉+酸奶/牛奶”的早餐组合促销，提高连带率。

4. **数据验证**：多数城市的便利店数据（如7-11、全家）显示，香蕉小把装（3根装）销量是单根装的1.5倍以上，且损耗率更低（顾客一次买完，不会反复翻动）。

**最终建议**：如果只选一种，上**3根小把装**，定价在5-7元区间，可配合“满减”或“第二件打折”活动。千万不要上整袋装，除非你打算做社区团购自提。
