选择长期稳定的水果供应商，除了价格和基础品质，最容易忽视的往往是这些**细节**，它们决定了你的利润空间和客户信任：

1. **产地与采摘时间（时效性）**  
   - 忽视点：很多供应商只报“产地”，但不提供**具体采摘日期**。水果的成熟度直接影响货架期，比如香蕉如果太生（绿皮）需要催熟，太熟会烂得快。长期合作应要求供应商标注采摘日期，并测试到货后的糖度（Brix值，可买便携糖度计）。
   - 建议：优先选择能承诺“48小时内从采摘到发货”的供应商，并在合同中写明“若到货时糖度低于X度可拒收”。

2. **损耗分担机制（最核心）**  
   - 忽视点：大多数供应商只负责“交货”，不承担运输途中或到货后的自然损耗。很多新手被低价吸引，结果一箱苹果到货有20%碰伤，损失全由自己扛。
   - 建议：明确约定**“到货损耗率”**（例如不超过3%），超出部分由供应商补货或退款。同时要求供应商使用带防震层的包装（如网格隔板），而不只是普通纸箱。

3. **供货稳定性与应急能力**  
   - 忽视点：只看当前有货，没问“如果连续降雨或产地断货，你的备用货源在哪？”很多小型供应商只有单一产区，持续供货不足时就会临时买高价货混卖，品质无法保证。
   - 建议：要求供应商提供**至少2个不同产区的备用货源**信息，并承诺“缺货时提前3天通知”，避免你临时无货可卖。

4. **农残与合规文件**  
   - 忽视点：批发市场很多水果没有正规检测报告，但长期做生鲜，一旦被抽检农残超标，罚款可能远超利润。很多供应商口头说“绿色”，但拿不出第三方检测报告。
   - 建议：合作前要供应商提供**最近一个批次的农残检测报告**，并保留复印件。如果条件允许，可以自己花几十元送检抽检批次（部分市场有快速检测服务）。

5. **账期与售后响应速度**  
   - 忽视点：谈好价格却不谈“烂果赔付流程”。现实中很多供应商会推诿“这是运输公司问题”，甚至拖延退款。  
   - 建议：在合同中写明**“到货24小时内反馈质量问题，需附开箱视频/照片，供应商需在48小时内给出赔偿方案”**，并先小额试单验证对方的售后态度，再下大单。

6. **冷链与温度记录**  
   - 忽视点：很多水果（如草莓、蓝莓、车厘子）对温度极其敏感，但有些供应商用普通带空调的货车运输，中途开关车门频繁导致温度波动。  
   - 建议：要求供应商提供**全程温度记录（蓝牙温度计读数）**，如果无法提供，就改用保温箱+冰袋包装，并缩短运输时间。

**总结关键动作**：  
- 第一次合作先下小单测试（如5箱），重点看**到货的碰伤率、成熟度和售后结算速度**。  
- 别只比“进价”，要算“最终成本” = 进价 + 预估损耗费 + 处理售后时间成本。  
- 长期合作时，最好每年**亲自去产地1次**，确认果园真实状况，避免供应商换货。

如果还有具体品类（比如热带水果、浆果类），可以继续追问，我可以给更细的检查清单。
