佳农水果的配送时效取决于你所在的城市、下单渠道（如佳农官方小程序/天猫/京东/抖音等）以及选择的配送方式（快递发货 or 同城/门店即时配送），没有统一固定答案。一般可以按下面判断：

1. **电商平台快递发货（天猫/京东/抖音等）**
   - 常见为**下单后48小时内发货**，部分预售/产地直发会标注更长时间。
   - 发货后到达时间看距离：同省或周边通常**1-2天**，跨省多数**2-4天**，偏远地区**4-7天或更久**。
   - 京东自营/平台仓发货通常更快，可能**次日达或隔日达**，但要以商品页承诺为准。

2. **佳农官方小程序/公众号商城**
   - 一般也是**快递发货**，时效取决于仓库和收货地。
   - 部分城市可能支持**同城配送或门店自提**，这类通常**当天或次日达**，但覆盖范围有限。

3. **商超/生鲜平台（如盒马、叮咚、美团买菜等）**
   - 如果是在这些平台买佳农水果，通常按平台规则：**30分钟-2小时达**或**次日达**，看你所在区域和配送时段。

4. **影响时效的关键因素**
   - 是否预售、是否产地直发
   - 收货城市是否偏远
   - 天气、节假日、大促期间物流压力
   - 商品页是否标注“48小时发货”“次日达”“预售7天发”等

**最准确的做法：**
直接看你下单商品页的“发货时效/配送说明”，或问店铺客服：“我的地址是XX，拍下后大概几天到？” 客服一般会给你更准确的答复。

如果你告诉我**下单渠道 + 收货城市**，我可以帮你更具体判断大概多久能到。
