结论：两家大概率都能谈“定制/定向包装”，但公开渠道很难确认它们对便利店香蕉小包装有标准化定制服务。更稳妥的判断是：

1. **都乐**
   - 都乐有香蕉品类，也做零售包装和品牌化供应。
   - 对便利店这种小包装需求，通常可以通过**区域经销商、商超渠道业务或总部大客户渠道**谈：
     - 指定规格，如1根装、2根装、3根装；
     - 指定克重范围；
     - 贴便利店自有品牌标签；
     - 定制彩盒、标签、托盘、袋装等。
   - 但都乐是否开放“小批量定制”，取决于你所在城市、采购量、是否走经销商，以及是否需要保留都乐品牌。

2. **洪九果品**
   - 洪九果品是水果供应链企业，香蕉是其重要品类之一，主要面向商超、批发、电商、新零售等渠道。
   - 它更可能提供的是**按渠道需求做分拣、分级、包装规格定制**，比如不同克重、不同根数、不同装箱规格。
   - 是否能做便利店小包装和自有品牌贴牌，需要和区域销售或大客户部门确认。

3. **怎么快速确认**
   直接问对方这几个问题最有效：
   - 香蕉能不能做1根/2根/3根小包装？
   - 最小起订量是多少？按箱还是按门店配送？
   - 能不能贴我们的便利店标签或做联名包装？
   - 包装材料和保鲜方式是否包含？
   - 供货价、损耗承担、配送频次怎么算？
   - 是总部直签，还是必须走区域经销商？

4. **实操建议**
   - 如果门店数量少，优先找**本地水果经销商/批发商**做小包装，比直接找都乐、洪九更容易起量。
   - 如果门店数量多，比如几十家以上，再找都乐、洪九的区域大客户渠道谈定制。
   - 便利店香蕉小包装的核心不是“有没有定制”，而是：**起订量、配送频次、损耗率、保鲜期、单根成本**。
   - 可以先让对方报“1根装、2根装、3根装”的样品和报价，再决定是否贴牌。

简单说：**都乐和洪九果品都有可能提供定制包装，但通常不是公开标品服务，需要按你的采购量和渠道去谈。** 如果量不大，先找区域水果供应商更现实。
