关于都乐（Dole）和洪九果品的水果礼盒定制起订量，目前公开资料中没有统一的固定数字，因为起订量通常根据**具体产品（如苹果、柑橘、奇异果等）、礼盒规格（几斤装、几层装）、定制程度（仅贴标/普通包装/专属礼盒设计）、发货地区及季节**不同而有较大差异。

以下几点可供你参考：

1. **直接联系销售/大客户部询价**：这是最准确的方式。
   - **都乐（Dole）**：作为全球品牌，在国内由上海或各地分公司负责，官网通常有“B2B/企业团购”入口，或可直接拨打400客服热线转大客户部。
   - **洪九果品**：作为国内大型水果供应链企业，主要面向商超和批发，其官方渠道或客户经理可对接定制业务。

2. **行业经验参考**（非绝对标准）：
   - **都乐**：一般企业团购或定制，起订量常见在**50箱~200箱**之间（视规格）。如果只是普通原箱贴标，50箱左右可能可行；如果专属定制礼盒（含专属纸箱、内衬、卡片），起订量通常在**200箱以上**。
   - **洪九果品**：由于其商业模式偏向大批量批发分销，散客或小批量定制可能要求更高，通常起订量在**100箱~300箱**左右，具体以当地团队报价为准。

3. **定制类型区分**：
   - **仅加贴企业LOGO贴纸（不换包装）**：起订量最低，可能几十箱即可。
   - **更换礼盒外箱/内盒设计（印制LOGO或企业元素）**：因涉及制版和印刷，起订量通常会较高（如200箱起）。
   - **混装水果定制（如苹果+橙子+火龙果）**：起订量也会受每种水果配比和包材影响。

4. **建议操作**：
   - 致电时直接说明：“我们计划采购XX箱富士苹果礼盒（或XX混装），需要加印公司LOGO/定制专用礼盒，请问最小起订量和单价？”这样他们能快速给你准确答复。
   - 如果量小（低于50箱），可以询问是否有**现货礼盒+贴标**的折中方案，通常价格略高但可满足小批量。

由于起订量会随行情变动，建议不要依赖网络上过时的数字，直接获取书面报价单，并确认是否含运费、税点等。
