关于都乐（Dole）和洪九果品（Hongjiu Fruit）的账期，目前没有公开统一的固定天数，因为账期通常是根据采购规模、合作时长、信誉以及具体合同条款来谈判确定的。

不过，我可以给你一些实际的参考信息和判断依据：

1.  **都乐（Dole）**：
    -   作为国际大型果蔬集团，其在国内的供应链体系较为规范，**一般针对大型商超、连锁餐饮或长期稳定客户**，账期通常在 **30天到60天** 之间。部分新客户或小规模采购可能要求现款现货或预付。
    -   他们更看重客户的信用评级，所以如果你的采购量足够大或合同期长，账期空间会相应放宽。

2.  **洪九果品**：
    -   作为国内头部水果供应链企业（主营榴莲、山竹等进口水果，也涉及香蕉），其商业模式本身极度依赖资金周转。对大客户（如永辉、盒马等）账期普遍较短，一般在 **15天到45天** 之间。
    -   由于洪九在产地端（如东南亚）投入巨大，他们更倾向于加速回款，除非是战略合作大单，否则账期很难超过45天。

**给你的可执行建议：**

-   **不要问“你们账期多长”**，直接问：“针对我们**年采购量XX吨**、月结**XX天**的付款条件，你们能否接受？”并附上公司资质或采购合同。
-   **对比标杆**：可以试探性询问：“我们目前在XX供应商处是30天账期，如果你们能提供45天账期，我们愿意加大采购量。”
-   **备选方案**：如果这两家账期都不理想，可以关注**国内主产区（如云南、广西）的中型批发商**，他们为了抢市场，往往更愿意提供 **45-60天** 的弹性账期，但需要你自行承担部分质量风险。

**重要提醒**：以上信息截至2025年5月，市场行情和公司财务政策可能调整。如果你需要谈长期合作，建议在合同谈判前，直接要求对方提供**一份包含明确账期条款的《供应商准入标准》** 作为依据，避免凭口头承诺。

如果需要，我可以帮你起草一份针对香蕉采购账期的谈判话术模板。
