连锁超市与水果供应商签订年度合同时，以下条款容易踩坑，建议重点关注：

1. **价格与调价机制**  
   - 固定价格未考虑市场波动。水果价格受季节、产地、天气影响较大，若未约定调价条件（如参考批发市场指数、成本变化比例），超市可能在价格下跌时仍按高价采购，或供应商在涨价时要求临时提价。建议明确价格调整触发点（如原料收购价涨跌超5%）、调价流程（书面通知、生效时间）及频率限制。

2. **质量标准与验收**  
   - 描述模糊。若仅写“新鲜”“无破损”，未约定具体指标（如甜度、大小、成熟度、农药残留标准），验收时易产生争议。建议附件列出等级标准（如直径、着色率），并明确抽样比例、第三方检测机构及复检权利。

3. **退货与损耗责任**  
   - 混淆“正常损耗”与“质量问题”。超市常要求供应商承担到货后全部损耗，但运输或仓储过程中可能混入责任。建议按终端拒收率（如≤3%）、货架期天数（如距保质期不足2/3可退货）分层划分责任，并限定退货时间窗口。

4. **供货量与履约保障**  
   - 未设定最低/最高供货量。若供应商因产量不足无法履约，或超市随意取消订单，另一方可能无依据索赔。建议约定月度最低采购量（可浮动10%）、周出货计划，并规定超期未供应的违约金（如订单金额的20%）。

5. **账期与付款节点**  
   - 账期过长或未绑定验收动作。果品保质期短，若账期超过1个月，供应商资金压力大。建议明确“到货后X日内付款”或“每月固定对账日结算”，避免“收到消费者付款后”等模糊条件。

6. **违约责任与免责条款**  
   - 仅单方免责。常见供应商要求“自然灾害停工免责”，但超市未必能免除销量波动风险。建议双向约定不可抗力范围（如极端天气、疫情封控），并明确因政府限价、突发禁令等事件的协商机制。

7. **独家供应与排他性**  
   - 未注明范围或补偿。若要求供应商“优先供货”或“独家品种”，超市可能面临断供风险。建议严格定义独家品种（如特定产地、果径），并约定若超市销量未达目标则取消排他，或供应商因其他渠道加价需支付补偿。

8. **合同期限与续约**  
   - 自动续约条款易被忽略。例如“合同到期前未通知终止则自动续期”，若一方已找到更好合作方，可能陷入被动。建议设定书面确认续约流程，或允许提前1个月单方解约。

**实务建议**：  
- 将价格波动、质量争议、退货比例等核心条款附上【阈值表】（如：甜度≥11%时允许加价2%，农药残留超标整批退货）。  
- 所有附件（如报价单、质量标准）需双方签字盖章，避免口头承诺。  
- 保留样品封存记录，作为争议时的证据。

建议在签署前由法务、采购、品控三方共同审核，重点测试“如果供应中断/品质下降/价格暴跌，合同能否平衡双方利益”。
