如果在单位采购水果时到货品质不一致，建议按以下步骤处理验收和售后：

### 验收阶段（当场操作）
1. **制定明确标准**：在采购合同中提前规定水果的等级（如：一级果、二级果）、大小范围、成熟度、允许瑕疵比例（如不超过5%）。
2. **开箱检查**：到货后随机抽取至少10%-20%的箱数，查看内部水果是否有腐烂、机械损伤、大小不均、颜色异常等。如果发现明显劣质果，立即停止验收。
3. **拍照留证**：对不一致的样品、整批次外观、包装标签、物流单进行拍照或录像，保留证据。
4. **填写验收记录**：制作《水果验收单》，写明到货数量、不合格数量、不合格类型（如腐烂、过熟、个头偏小），要求送货方签字确认。如果送货方拒签，注明“拒签”并保留记录。

### 售后处理（根据情况选择方案）
- **如果数量较少（如5%以内）**：可联系供应商要求补发等量合格水果，或按实际不合格数量从货款中扣除（按单价计算）。
- **如果数量较多（如超过10%）**：要求整批次退换货，或按合同约定的“品质不符条款”处理（如扣减货款20%-30%）。如果合同无约定，可协商按双方确认的折算比例（如按市场价折扣）。
- **如果腐烂或有食品安全风险**：立即停用并封存样品，要求供应商承担全部损失及可能的消杀费用，必要时向市场监管部门举报（涉及食品安全法）。
- **如果供应商不配合**：保留付款凭证、合同、验收记录、沟通记录，可向采购平台投诉，或通过法律途径追索损失。

### 预防建议
- 首次合作时，可要求供应商先寄送小样进行品质确认。
- 合同明确约定“到货品质与标准不一致时，甲方有权拒收整批货物”。
- 对易变质水果（如草莓、荔枝），可要求采用冷链运输，并在合同中写明运输温度和时间要求。

按此流程操作，能最大程度避免争议并保障单位权益。
