在酒店采购水果盘原料时，供应商应保证以下**规格标准**和**外观标准**，通常可写入采购合同或验收标准中：

### 一、规格标准（可量化、可测量）
1. **成熟度**：按品种区分采收成熟度（如香蕉7-8成熟、芒果7成熟、猕猴桃后熟软化前），并注明软化天数。
2. **单果重量/尺寸**：例如苹果直径≥8cm、橙子单果≥200g、西瓜单瓜≥5kg，同一批次误差不超过±10%（具体按酒店级别定）。
3. **色泽一致性**：同一品种同一批次的底色或面色均匀，无明显花斑或杂色。
4. **完整性**：无机械伤（压痕、划伤、碰伤）、无果柄缺失导致的破裂、无裂果（除标注的允许裂果率外）。
5. **净含量**：整箱（筐）产品净重误差≤2%，纸箱/塑筐标注清晰、无渗漏。

### 二、外观标准（感官验收）
1. **无病虫害**：无霉斑、腐烂、虫眼、虫粪、流胶、锈斑（轻度锈斑需提前确认是否接受）。
2. **无水肿/冻伤**：果肉无明显透明状、褐变、水渍状。
3. **无表面污染**：无农药残留痕迹、泥土、蜡质异常、包装污染。
4. **果形端整**：无畸形果（如双头、歪斜）、无凹凸变形影响切配摆盘。
5. **香气**：具有该品种特有的新鲜香气，无发酵、酸败异味。
6. **果蒂状态**：果蒂新鲜绿色或干缩适中，无发黑、发霉。

### 三、交付与包装附加要求
- **单果独立防护**：高档果盘用纸包或泡沫网套，且垫层清洁干燥，避免擦伤。
- **冷链要求**：易腐水果（如草莓、蓝莓、荔枝）到货时中心温度应≤4℃（可注明允许波动范围）。
- **标签信息**：每批货需注明品种、产地、采收日期、等级（特级/一级）、承重人联系方式。

### 四、建议操作
- 在合同中明确“以酒店验收抽检为准”，抽检比例建议≥10%，开箱检查底部与中心层（勿只看表层）。
- 对颜色、大小等关键指标设置**可接受允差**（如成熟度偏差≤5%），避免供应商钻字眼。
- 若用于果切拼盘，还需额外注明“无内部褐变”，可在到货后随机切开2-3个验证。

若您需要更具体的某个水果品种（如西瓜、哈密瓜、草莓）的细化标准，可以告知我。
