针对社区超市销售小包装香蕉，采购时需重点关注以下包装和损耗问题：

1. **包装设计**  
   - **透气性**：香蕉呼吸作用强，需选择带透气孔或网兜包装，避免密封袋导致加速腐烂。  
   - **防挤压**：使用硬质托盘或分格盒固定香蕉，减少运输碰撞导致的褐变和机械伤。  
   - **自然卖相**：优先选择透明或半透明包装，让顾客看到果肉颜色和成熟度，避免过度包裹掩盖瑕疵。

2. **损耗控制措施**  
   - **成熟度分级**：按用途分两批采购：  
     - 即售款：成熟度7-8成（果皮全黄带少量青斑），适合1-2天内食用。  
     - 备货款：成熟度5-6成（整体青绿色），常温放置2-3天自然成熟。  
   - **包装规格**：单串3-5根（约400-500克），减少分次购买拆包导致的碰伤，同时降低顾客因吃不完产生的浪费。  
   - **拒收标准**：验收时强制剔除以下批次：  
     - 果柄裂开或果皮有黑点（预示内部已开始变质）。  
     - 表皮超过30%面积出现褐色斑块（氧化过度）。  
     - 单根香蕉出现直径>2cm的软烂区域。

3. **采购协议条款**  
   - 要求供应商提供：  
     - 绿色期香蕉（避免使用乙烯利过度催熟）。  
     - 包装箱内温度记录（确保运输全程未超过14℃）。  
     - 明确损耗率承诺：到货后48小时内发生腐烂的，供应商按比例补货或退款。

4. **陈列维护**  
   - 到货后立即拆箱，去除已出现轻微褐变末端的香蕉，避免影响整批销售。  
   - 店铺内小包装香蕉不要与苹果、梨同柜陈列（释放的乙烯会加速成熟）。  
   - 每天早晚各检查一次，抽走已经全黄或出现黑色斑点的包装，转为熟食区促销（如0.5折或买一赠一）。

补充提示：可参考成熟香蕉的推荐催熟温度（18-22℃），夏季采购量应减少30%-50%，同时要求供应商加厚包装缓冲层。
