社区超市找每天配送的水果供应商，核心不是先看价格，而是先看**能不能稳定履约**。建议按下面条件筛选：

1. **配送能力**
   - 是否能做到每天固定时间送达，比如早上6—8点前到店，方便开门前上架。
   - 是否有冷链车或保温箱，尤其夏天送叶菜、浆果、切果类更容易坏。
   - 配送范围是否覆盖你所在片区，距离太远容易迟到或加运费。
   - 临时补货、节假日、恶劣天气是否能加急或调整。

2. **货源与稳定性**
   - 是否有固定产地、批发市场档口或一级合作基地，而不是临时倒货。
   - 常见水果能不能长期稳定供，不要今天有明天没。
   - 反季节水果和进口水果是否有稳定渠道。
   - 缺货时是否有替代方案，比如同品类替换、提前告知。

3. **品质与损耗**
   - 是否允许看样、试卖，先小批量合作几天。
   - 到货烂果率大概多少，坏果是否包赔、怎么赔。
   - 水果成熟度是否适合社区店，太生影响复购，太熟损耗大。
   - 是否按大小、甜度、外观分级，避免同一批货质量忽好忽坏。

4. **价格与结算**
   - 报价是否含运费、装卸费、损耗补贴。
   - 是否每天有价格单，价格随行就市时能不能提前通知。
   - 起送量、最小起订额是多少，社区店单量小是否愿意送。
   - 结算是现结、周结还是月结，能否开票或提供收据。
   - 押金、账期、退换货规则要提前写清。

5. **售后与响应**
   - 出现烂果、缺斤少两、送错货时，多久能补送或退款。
   - 是否有专人对接，微信/电话能不能及时回复。
   - 退换货是否上门取回，还是让门店自己承担。
   - 能不能提供每日销售建议，比如哪些适合做特价、哪些适合主推。

6. **资质与安全**
   - 营业执照、食品经营相关资质是否齐全。
   - 水果是否有农残检测或合格证明，至少能提供批次来源。
   - 运输过程是否避免和化学品、生肉等混装。

7. **合作测试方法**
   - 先找2—3家同时试供1—2周。
   - 每天记录：到货时间、烂果率、缺货次数、售后响应、实际毛利。
   - 重点看“准时率”和“坏果包赔是否爽快”，这两项比单价便宜几毛更重要。
   - 试供后再谈长期价、账期和独家/非独家条款。

简单判断标准：  
**能每天准时送、坏果愿意赔、缺货提前说、价格随行就市但不乱涨、售后找得到人**，就值得优先合作。  
如果只是价格低，但经常迟到、烂果不赔、临时缺货，社区店很容易被顾客投诉，反而更亏。
