由于生鲜物流时效受具体产地、发货地、冷链配置及区域仓库布局影响极大，**无法给出绝对结论**。但基于行业通用信息，可提供以下参考：

1. **都乐（Dole）**：
   - 通常拥有较成熟的全球产地直采体系和自有冷链物流网络，对标准化包装和运输时效控制较严格。
   - 若其在中国主产区（如云南、海南）设有产地仓或代理仓库，且你的收货地在其核心干线覆盖范围内（例如一线城市），物流速度通常较快（一般1-3天达）。

2. **鑫荣懋（XinRongMao）**：
   - 国内大型水果供应链企业，在多地设有区域分仓，可能对二三线城市的配送覆盖更灵活。
   - 若需要从产地（如云南）直接发货至非核心城市，其“产地直发+第三方冷链合作”模式可能因区域中转导致时效波动（通常2-4天）。

**建议：**
- **直接联系两家公司的客户经理**，提供你的收货地邮编、预期收货量及时间要求，要求其提供“从指定产地（例如云南红河州某香蕉基地）到你的仓库或终端”的**最近3个月配送时效平均值**。
- **测试下单**：以同一地址各下一单（小批量），实测从采摘、包装到送达的总时长，同时对比包装损耗率。
- **考虑替代方案**：若时效要求极严格，也可评估“产地直发+顺丰生鲜冷链专线”的组合。

最终决策请以实际测试数据为准。
