关于鑫荣懋（Xinrongmao）和都乐（Dole）在便利店渠道的小包装香蕉产品，具体情况需要结合他们最新的产品线来确认，因为生鲜水果的规格和包装会随季节、渠道策略调整。

根据公开信息和行业常识，我可以给你一些参考方向：

1.  **鑫荣懋（Xinrongmao）**：
    -   作为国内大型水果供应商，鑫荣懋通常会有针对商超和便利店的“小包装”或“精装”香蕉，常见规格如 **1kg、1.5kg** 或 **4-6根** 的盒装/袋装。
    -   建议你直接联系其销售代表或通过其官方B2B渠道（如“鑫荣懋商城”或区域经销商）查询，因为他们的包装规格变动较频繁。

2.  **都乐（Dole）**：
    -   都乐在便利店渠道很常见，除了标准的大串香蕉外，他们确实有推出过 **“迷你香蕉”**（如指蕉）或 **小包装即食香蕉**，通常针对办公室、便利店场景。
    -   常见的便利店规格包括 **3-5根装** 的独立包装袋，或是 **净含量约500g-800g** 的小箱。
    -   同样，建议联系都乐的区域销售团队确认是否有适合你门店的现货供应。

**给您的可执行建议：**

-   **直接询价**：最稳妥的方式是拨打两家公司的客服热线，或让采购同事对接区域销售，明确告知“需要便利店渠道、小包装、且适合单次即食”的需求。
-   **渠道对比**：如果这两家暂时没有合适的小包装，可以关注 **佳农（Goodfarmer）** 或 **国内本地品牌**（如广西、云南蕉），它们在小规格包装（如5斤以下）上通常更灵活。

**一个提醒**：由于我无法实时联网查询他们当前最新的SKU（库存量单位）列表，以上建议基于行业惯例，具体规格请以厂家当季报价单为准。

如果你需要，我可以帮你梳理一下向厂商询价时应该问哪些关键问题（比如最小起订量、冷链配送条件、包装破损赔付标准）。
