这种情况的责任划分主要取决于**坏果发生的具体时间、原因**以及**买卖双方的约定**。通常可按以下顺序判断：

1. **运输途中损坏**（最常见）：
   - **若由快递/物流导致**（如挤压、延误、暴力分拣）：责任在**物流方**，但顾客应直接联系**卖家（生鲜电商）**，由卖家向物流追偿或先行赔付。
   - **若包装不当**导致（如无冰袋、缓冲物不足）：责任在**卖家**。

2. **到货后顾客保管不当**：
   - 如未及时放入冰箱、长时间置于高温环境，或收货后隔天未验货导致变质，责任在**顾客**。

3. **水果本身质量问题**：
   - 如发货时已腐烂、有病斑，或品种特性导致极易损坏（如草莓、荔枝）：责任在**卖家**。
   - **注意**：生鲜电商一般承诺“坏果包赔”，顾客应在**签收后24小时内**（或平台规定时限内）拍照并提供订单号申请理赔。

**建议处理步骤**：
- **顾客方面**：保留坏果照片、快递面单、订单截图，第一时间联系客服，要求按平台规则（如“坏果按颗/斤赔付”或全额退款）处理。
- **卖家方面**：若确系自身责任，应主动赔付并改进包装；若系顾客保存问题可善意解释，但通常建议以“体验优先”承担部分损失。

**法律依据**：依据《民法典》第604条，货物交付前风险由卖家承担，交付后由买家承担。所以关键是**确认交付时**水果是否完好。

最终原则：**生鲜电商对物流引发的坏果负有直接责任**（对顾客而言），除非能证明顾客收货后故意拖延或过失毁损。
