除了都乐（Dole）和佳沛（Zespri），以下进口水果品牌在礼品团购市场中口碑较好，且具备品牌辨识度，适合用于礼盒装：

1. **怡颗莓（Driscoll‘s）**  
   - 主打产品：蓝莓、树莓、黑莓  
   - 特点：高端浆果品牌，包装精致，适合精品礼盒。

2. **新奇士（Sunkist）**  
   - 主打产品：橙子、柠檬  
   - 特点：美国经典品牌，柑橘类水果品质稳定，礼盒包装常见。

3. **爱妃（Envy）**  
   - 主打产品：苹果  
   - 特点：新西兰品牌，果肉不易氧化，口感脆甜，适合高端礼品。

4. **乐淇（Rockit）**  
   - 主打产品：苹果  
   - 特点：新西兰小苹果，单果独立包装，方便携带，适合节日礼盒。

5. **菲油果（Feijoa）**（部分进口渠道）  
   - 主打产品：菲油果  
   - 特点：新西兰特色水果，果香浓郁，小众高端路线。

6. **金枕头（泰国） & 猫山王（马来西亚）**  
   - 主打产品：榴莲（冷冻或鲜果）  
   - 特点：高端榴莲品牌，适合作为高档礼盒选择。

7. **超甜蕉系列**（如：菲律宾都乐旗下的“超甜蕉”、佳农等）  
   - 主打产品：香蕉  
   - 特点：香蕉礼盒适合大众送礼，价格适中。

**团购建议：**  
- **搭配组合**：可将怡颗莓蓝莓+爱妃苹果+乐淇苹果混合包装，提升档次。  
- **包装细节**：选择带品牌LOGO的独立包装或定制礼盒，突出品牌辨识度。  
- **注意事项**：进口水果需确保检疫证明、冷链运输完整，避免运输损耗。  

如果需要更具体的批发渠道或价格区间，建议直接联系本地大型水果批发市场或品牌代理商。
