选择社区超市的水果供应商时，建议重点关注以下几个核心条件，优先考虑“稳定、新鲜、成本可控”：

---

**1. 保鲜能力与物流时效（最重要）**
- **配送频率**：是否支持每日配送？能否在早晨开门前送达（例如早上6-8点）？
- **冷链设备**：是否有冷藏车/恒温车，而非普通货车？夏季高温时尤其关键。
- **损耗承诺**：是否承诺“当日未售完可退换”或“按日配货、卖不完次日回收”？

**2. 水果品质与货源稳定性**
- **产地直采/合作基地**：有稳定产地（如本地种植基地或一级批发市场）的供应商，价格和品质波动更小。
- **品控标准**：能否提供每日到货的品级说明（如特级/一级）？是否有农残检测报告（可要求提供近期检测记录）？
- **品类丰富度**：是否覆盖当季主流水果（如苹果、香蕉、柑橘类）以及网红款（如阳光玫瑰、蓝莓等）？能否按销量灵活调整。

**3. 价格与结算模式**
- **报价透明度**：要求提供“到店价”（含配送费），对比批发市场价时注意剔除包装、损耗等隐性成本。
- **账期灵活**：尽量选“日结”或“周结”，避免压款；若需预付，需确认退换货条款。

**4. 服务与售后**
- **缺货/调货响应**：如遇突发缺货，能否当天补送或推荐替代品？
- **残次品处理**：售出后若顾客投诉品质问题，供应商是否承担部分置换或补贴？
- **日常配合**：能否根据超市销售数据提供“周度推荐清单”（如临近节假日增加礼盒装）？

**5. 合同与试运行**
- **先签短期试用**（如1-2周），从每日下单、配送、损耗率、消费者反馈四个维度做记录。
- 合同中明确：配送延迟的赔偿、品质不达标的退换比例、解除合同的条件。

---

**额外建议：**
- **实地探访**：抽访供应商的仓储或分拣点，观察新鲜度、残次率、分拣流程。
- **多备1-2家**：避免单一依赖，可分别选1家主供、1家备份，应急时调用。

如果当地有大型农产品批发市场（如一级市场），可直接与市场内头部档口谈“日配”合作，通常比找中间商更有价格优势。
