与酒店早餐水果供应商合作时，需关注以下关键点以确保供应稳定、成本可控且品质达标：

1. **供应稳定性与应急预案**  
   - 要求供应商提供明确的**最小起订量**、**交货周期**及**季节性断供风险**应对方案（如替代品种或备选供应商）。  
   - 书面约定**缺货赔偿条款**（如按日补偿采购金额的10%）。  

2. **品质标准与分拣要求**  
   - 明确水果成熟度（如香蕉允许带青皮但无斑点）、单果重量/尺寸、包装方式（防挤压托盘等）。  
   - 到货后设定**验收窗口期**（如到货30分钟内抽检5%，不合格品退货或扣款）。

3. **价格与结算机制**  
   - 锁定**基础价格**（如按周或月随行就市调整），注明包含运输、搬运等附加费用。  
   - 采用**阶梯结算**：长期订单可争取账期（如月结30天），短期应急溢价需提前约定。

4. **合同条款与责任界定**  
   - 明确**不可抗力条款**（如极端天气导致断供时双方责任分担）。  
   - 要求供应商提供**食品经营许可证、水果产地检疫证明**，并定期接受本酒店突击检查。

5. **长期合作激励**  
   - 设定**质量与准时率挂钩的年返点**（如全年无断供且合格率≥98%返现2%）。  
   - 尝试**独家供应权**附加条款：若供货持续稳定，次年度给予价格优先权。

**操作建议**：  
- 先进行3个月试单，用小批量测试供应商履约能力。  
- 保留20%采购份额由备选供应商供应，避免过度依赖单一来源。  
- 在合同中加入**定期调价公式**（如参考本地批发市场前30日均价波动），避免价格僵化。  

最终需将所有口头承诺写入合同，并由法务审核违约赔偿与终止条款。
