判断水果供应商是否合规、稳定，核心不是看报价单，而是要看**主体资质、货源组织能力、履约记录**这三条线。下面按可执行清单给你。

## 一、合规性：先排除硬伤

**1. 主体与经营范围**
- 营业执照在有效期内，经营范围包含“食品销售/食用农产品销售/农副产品销售”。
- 若对方自称“合作社/基地直供”，核对营业执照与对公账户名称是否一致，防止个人挂靠。

**2. 食品经营许可与检测**
- 销售预包装或需加工的，应有食品经营许可证；仅卖初级食用农产品的，通常需备案或符合当地要求。
- 要求提供近期**农残检测报告**，最好是他自己送检或第三方检测，不是一张放之四海的复印件。
- 能提供**承诺达标合格证**（很多地区对食用农产品有要求）更稳妥。

**3. 票据与追溯**
- 能否开正规发票，品名、数量、单价是否可对应。
- 每批货能否提供**批次信息**：产地、采摘/到货日期、检测或合格证明。
- 出现问题时能否追溯到具体批次，这是养老院/医院最看重的。

**4. 特殊要求**
- 医院、养老院往往有食堂承包或集中用餐单位管理要求，部分地方要求供应商纳入监管平台或提供更多索证索票材料，提前问清。

## 二、稳定性：看“供得上、供得准、扛得住”

**1. 货源结构**
- 只靠一个产地或一个批发市场档口的，风险高；有**多产地、多档口、季节性替补方案**的更稳。
- 问清楚：台风、寒潮、节假日、疫情管控时，怎么保供？有没有备用渠道？

**2. 仓储与冷链**
- 有没有冷库、分拣场地、冷藏车？叶菜、浆果、切果类对冷链要求高。
- 没有冷链却承诺全品类稳定供应，通常不可信。

**3. 配送能力**
- 自有车辆还是临时叫车？能否固定时间送达？
- 养老院/医院通常要求早于开餐前送达，迟到会直接影响供餐。

**4. 价格机制**
- 是否随行就市但设**浮动上限**？还是锁价？锁价过低往往意味着以次充好。
- 报价是否含税、含运费、含损耗？这些不写清，后面容易扯皮。

**5. 损耗与退换**
- 烂果、规格不符、重量不足怎么处理？能否**当场退换或补送**？
- 建议约定：验收不合格率超过一定比例，整批退换或扣款。

## 三、实操判断方法

**1. 先小批量试供**
- 试供 2–4 周，覆盖叶菜、根茎、浆果等不同品类，观察到货时间、新鲜度、规格一致性、缺货频率。

**2. 现场考察**
- 看分拣场、冷库、车辆、库存。现场杂乱、无温控、临时拼货的，稳定性通常差。

**3. 查履约记录**
- 让他提供同类客户（医院、学校、养老院、机关食堂）的合作证明或合同片段。
- 直接问：过去一年有没有断供、食安投诉、退货纠纷？

**4. 设量化考核**
- 到货准时率、验收合格率、缺货率、投诉响应时间。
- 连续两个月不达标就启动替换，不要只靠口头承诺。

## 四、合同里必须写清的条款

- 资质证照作为附件，过期即违约。
- 每批提供合格证明/检测报告，否则拒收。
- 质量标准：品种、规格、成熟度、新鲜度、农残要求。
- 配送时间、地点、温度要求。
- 退换货、补货时限和违约金。
- 价格调整机制和上限。
- 食安事故责任与赔偿。
- 合同期不宜过长，建议 1 年，设试用期和退出条款。

## 五、快速判断口诀

**证照全、票据齐、能追溯 → 合规。**
**多货源、有冷链、能保供、敢退换 → 稳定。**
**只拼价格、无冷库、无检测、无同类客户 → 慎用。**

如果只能做一件事，就先要**近三个月的检测报告 + 同类食堂合作证明 + 小批量试供**，这三样比听介绍可靠得多。
