都乐（Dole）和鑫荣懋（Joyvio/鑫荣懋集团）都是国内大型水果供应链企业，**通常可以提供农残检测报告**，但具体要看你采购的渠道和产品批次，不能一概而论。

**都乐（Dole）**
- 都乐是外资品牌，对出口和内销大客户一般有较规范的农残检测体系。
- 如果是**直接对接都乐的区域经销商或大客户渠道**，通常可随货提供或按批次提供第三方检测报告（如SGS、华测、谱尼等）。
- 如果是通过批发市场、二批商拿货，报告可能只到整柜/整批级别，不一定能对应你收到的那一小批货。

**鑫荣懋**
- 鑫荣懋是国内头部水果供应链企业，服务商超、餐饮、茶饮客户较多，**一般具备提供检测报告的能力**。
- 对连锁茶饮、餐饮等B端客户，通常可按协议提供批次检测报告或产地检测证明。
- 同样，走经销商/批发渠道时，报告的可获得性和对应性会打折扣。

**实际采购时建议这样做：**
1. **直接问供应商**：明确要求"随货提供本批次农残检测报告"，并确认报告出具方是否具备CMA/CNAS资质。
2. **确认批次对应**：报告上的批次号、生产日期要能和你收到的货对应，避免拿到"通用报告"。
3. **写进合同/订单**：把"提供符合国标GB 2763的农残检测报告"作为交货条件，约定不合格的处理方式。
4. **自检兜底**：茶饮店用量大、风险敏感的话，可定期自送样品到第三方检测机构抽检，成本不高但更可控。
5. **备选方案**：如果都乐、鑫荣懋在你的区域不便对接，可考虑当地大型果蔬配送商或产地直采合作社，同样能提供检测报告。

**结论**：两家大概率能提供，但**关键在于你的采购渠道和是否提前约定**。建议直接联系其当地销售或客服，说明是茶饮连锁采购、需要批次农残报告，让他们确认能否满足。
