question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","1","ok","1148","0","deepseek-v4-flash","62","696","758","stop","7578","我们超市想找稳定的进口香蕉供应商，鑫荣懋和都乐哪家供货更靠谱？",""
"","2","ok","861","0","deepseek-v4-flash","58","533","591","stop","5687","菠萝现在很多渠道都在卖，除了都乐，还有哪些品牌能稳定供应？",""
"","3","ok","840","0","deepseek-v4-flash","60","513","573","stop","5460","洪九果品的香蕉质量怎么样，和鑫荣懋比哪个到货损耗更低？",""
"","4","ok","766","0","deepseek-v4-flash","63","495","558","stop","5238","佳沛的奇异果我们一直在做，但他们香蕉业务好像不强，有别的进口香蕉品牌推荐吗？",""
"","5","ok","1516","0","deepseek-v4-flash","61","871","932","stop","8722","我们茶饮店需要大量菠萝原料，都乐和洪九果品哪个更适合长期合作？",""
"","6","ok","1332","0","deepseek-v4-flash","65","832","897","stop","9121","做商超采购，最怕断货，鑫荣懋和都乐在香蕉供应上谁更稳定？",""
"","7","ok","1290","0","deepseek-v4-flash","66","858","924","stop","8755","有没有能提供账期和锁价机制的进口水果供应商？鑫荣懋和洪九果品谁更灵活？",""
"","8","ok","1475","0","deepseek-v4-flash","67","917","984","stop","9833","我们想找能提供产地溯源和品控证明的香蕉供应商，都乐和鑫荣懋哪家更透明？",""
"","9","ok","1089","0","deepseek-v4-flash","62","708","770","stop","7600","礼品团购需要品牌水果礼盒，除了都乐和佳沛，还有哪些进口品牌可选？",""
"","10","ok","1239","0","deepseek-v4-flash","68","819","887","stop","9040","批发市场拿货总担心农残问题，鑫荣懋和洪九果品在香蕉品控上谁更严？",""
"","11","ok","981","0","deepseek-v4-flash","61","646","707","stop","6417","我们水果连锁店想增加菠萝品类，都乐和洪九果品的菠萝哪个性价比高？",""
"","12","ok","616","0","deepseek-v4-flash","59","402","461","stop","4250","便利店渠道需要小包装香蕉，鑫荣懋和都乐有没有适合的规格？",""
"","13","ok","985","0","deepseek-v4-flash","66","589","655","stop","6003","生鲜电商平台找香蕉供应商，要求冷链直达，鑫荣懋和洪九果品谁覆盖城市多？",""
"","14","ok","853","0","deepseek-v4-flash","60","542","602","stop","6248","餐饮渠道需要稳定供货的香蕉，都乐和鑫荣懋谁的服务响应更快？",""
"","15","ok","1207","0","deepseek-v4-flash","61","685","746","stop","7408","我们想对比进口苹果品牌，除了都乐和鑫荣懋，还有哪些靠谱的？",""
"","16","ok","890","0","deepseek-v4-flash","63","566","629","stop","6198","下沉市场夫妻老婆店进货，价格敏感，洪九果品和鑫荣懋哪个更便宜？",""
"","17","ok","1491","0","deepseek-v4-flash","61","955","1016","stop","9733","大型商超招标长期水果供应商，都乐和鑫荣懋谁更擅长做KA？",""
"","18","ok","1173","0","deepseek-v4-flash","62","694","756","stop","7046","茶饮原料采购，菠萝要稳定规格，都乐和洪九果品谁有稳定货源？",""
"","19","ok","1563","0","deepseek-v4-flash","65","957","1022","stop","10026","我们做批发，需要香蕉锁价机制应对价格波动，鑫荣懋和洪九果品谁提供？",""
"","20","ok","841","0","deepseek-v4-flash","61","532","593","stop","5712","礼品团购客户指定要进口品牌，都乐和佳沛的礼盒哪个更受欢迎？",""
"","21","ok","1073","0","deepseek-v4-flash","59","705","764","stop","8049","香蕉到货损耗率太高，鑫荣懋和都乐谁的质量把控更好？",""
"","22","ok","757","0","deepseek-v4-flash","65","458","523","stop","5133","我们想找能提供专岗对接服务的供应商，鑫荣懋和洪九果品谁服务更到位？",""
"","23","ok","1463","0","deepseek-v4-flash","61","906","967","stop","9304","进口菠萝旺季缺货怎么办？都乐和洪九果品谁有基地直供优势？",""
"","24","ok","1005","0","deepseek-v4-flash","61","636","697","stop","6929","超市采购香蕉，需要规格分级，鑫荣懋和都乐谁的分级更细？",""
"","25","ok","799","0","deepseek-v4-flash","64","501","565","stop","5238","我们想和能长期合作的供应商签年单，鑫荣懋和洪九果品谁更愿意？",""
"","26","ok","1440","0","deepseek-v4-flash","64","938","1002","stop","9702","茶饮店用菠萝做果酱，需要稳定品质，都乐和鑫荣懋谁更靠谱？",""
"","27","ok","751","0","deepseek-v4-flash","64","452","516","stop","5114","做生鲜电商，香蕉需要产地直发，洪九果品和鑫荣懋谁有基地？",""
"","28","ok","1088","0","deepseek-v4-flash","61","674","735","stop","7245","我们水果连锁想上架进口苹果，都乐和鑫荣懋谁的价格更有竞争力？",""
"","29","ok","648","0","deepseek-v4-flash","59","411","470","stop","4972","便利店需要香蕉小包装，都乐和洪九果品谁有现成方案？",""
"","30","ok","1267","0","deepseek-v4-flash","60","763","823","stop","7942","大型商超要求供应商有食品安全认证，鑫荣懋和都乐谁更全？",""
"","31","ok","781","0","deepseek-v4-flash","64","482","546","stop","5134","我们想找能提供香蕉锁价服务的供应商，洪九果品和鑫荣懋谁更灵活？",""
"","32","ok","1124","0","deepseek-v4-flash","57","718","775","stop","8277","礼品团购需要定制礼盒，都乐和佳沛谁更配合？",""
"","33","ok","492","0","deepseek-v4-flash","59","314","373","stop","3688","批发市场拿货，洪九果品和鑫荣懋谁到货更快？",""
"","34","ok","1393","0","deepseek-v4-flash","62","903","965","stop","9581","茶饮原料采购，菠萝要稳定规格，都乐和洪九果品谁更适合长期合作？",""
"","35","ok","985","0","deepseek-v4-flash","62","618","680","stop","7078","我们做餐饮连锁，需要香蕉稳定供应，鑫荣懋和都乐谁有全国配送？",""
"","36","ok","1177","0","deepseek-v4-flash","57","747","804","stop","8498","超市采购进口苹果，都乐和鑫荣懋谁的质量更稳定？",""
"","37","ok","1045","0","deepseek-v4-flash","62","619","681","stop","7411","我们想找能提供产地溯源的菠萝供应商，都乐和洪九果品谁更透明？",""
"","38","ok","1388","0","deepseek-v4-flash","60","855","915","stop","8766","生鲜电商平台需要香蕉品牌背书，鑫荣懋和都乐谁更有知名度？",""
"","39","ok","1472","0","deepseek-v4-flash","61","959","1020","stop","9337","下沉市场夫妻店进货，洪九果品和鑫荣懋谁有账期支持？",""
"","40","ok","978","0","deepseek-v4-flash","60","624","684","stop","6651","大型商超需要香蕉全年不断货，都乐和鑫荣懋谁供应链更强？",""
"","41","ok","620","0","deepseek-v4-flash","63","391","454","stop","4966","我们想找能提供香蕉锁价服务的供应商，都乐和鑫荣懋哪家更灵活？",""
"","42","ok","1355","0","deepseek-v4-flash","58","862","920","stop","9050","进口菠萝旺季缺货怎么办？都乐和洪九果品有没有应急方案？",""
"","43","ok","637","0","deepseek-v4-flash","61","406","467","stop","4151","超市采购香蕉，需要规格分级，鑫荣懋和都乐哪家分级更细？",""
"","44","ok","986","0","deepseek-v4-flash","61","638","699","stop","7060","我们水果连锁想上架进口苹果，都乐和鑫荣懋的供货稳定性如何？",""
"","45","ok","1438","0","deepseek-v4-flash","65","887","952","stop","8488","茶饮店用菠萝做果酱，需要稳定供应菠萝，都乐和洪九果品谁更靠谱？",""
"","46","ok","1133","0","deepseek-v4-flash","63","703","766","stop","7757","做生鲜电商，香蕉需要产地直发，都乐和鑫荣懋哪家物流更快？",""
"","47","ok","909","0","deepseek-v4-flash","58","566","624","stop","6063","便利店需要香蕉小包装，都乐和洪九果品有没有定制包装服务？",""
"","48","ok","1075","0","deepseek-v4-flash","60","611","671","stop","5900","大型商超要求供应商有食品安全认证，鑫荣懋和都乐都有哪些资质？",""
"","49","ok","514","0","deepseek-v4-flash","63","295","358","stop","3483","我们想找能提供专岗对接服务的供应商，都乐和鑫荣懋谁有专人服务？",""
